1581620.900918 5096721.063046              CB82-08 147.00 0.1348 9.62522
1581602.963992 5096738.477450              CB82-08 148.00 0.1352 9.01395
1581585.027006 5096755.891912              CB82-08 149.00 0.1352 10.5933
1581567.090080 5096773.306316              CB82-08 150.00 0.1351 10.7192
1581549.153154 5096790.720720              CB82-08 151.00 0.1357 10.2608
1581531.216227 5096808.135124              CB82-08 152.00 0.1353 11.0402
1581513.279301 5096825.549528              CB82-08 153.00 0.1354 10.7803
1581495.342316 5096842.963990              CB82-08 154.00 0.1352 9.53884
1581477.405389 5096860.378394              CB82-08 155.00 0.1356 9.29859
1581459.468463 5096877.792798              CB82-08 156.00 0.1352 7.68514
1581441.531537 5096895.207202              CB82-08 157.00 0.1345 8.43058
1581423.594611 5096912.621606              CB82-08 158.00 0.1341 8.14894
1581405.657684 5096930.036010              CB82-08 159.00 0.1343 7.1159
1581387.720758 5096947.450414              CB82-08 160.00 0.1334 8.28584
1581369.783832 5096964.864818              CB82-08 161.00 0.1337 7.53241
1581351.846906 5096982.279222              CB82-08 162.00 0.1337 7.0053
1581333.909861 5096999.693741              CB82-08 163.00 0.1339 7.90581
1581315.972934 5097017.108145              CB82-08 164.00 0.1333 9.98691
1581298.036008 5097034.522550              CB82-08 165.00 0.1333 9.85804
1581280.099082 5097051.936954              CB82-08 166.00 0.1336 7.94198
1581262.162156 5097069.351358              CB82-08 167.00 0.1341 9.31431
1581244.225230 5097086.765762              CB82-08 168.00 0.1344 10.2333
1581226.288303 5097104.180166              CB82-08 169.00 0.1346 9.75232
1581208.351377 5097121.594570              CB82-08 170.00 0.1346 9.53679
1581190.414451 5097139.008974              CB82-08 171.00 0.1352 8.53941
1581172.477525 5097156.423378              CB82-08 172.00 0.1351 7.50577
1581154.540598 5097173.837782              CB82-08 173.00 0.1348 8.43885
1581136.603553 5097191.252301              CB82-08 174.00 0.1341 9.92329
1581118.666627 5097208.666705              CB82-08 175.00 0.1339 7.3115
1581100.729701 5097226.081109              CB82-08 176.00 0.1339 7.0603
1581082.792775 5097243.495513              CB82-08 177.00 0.1337 8.47863
1581064.855848 5097260.909917              CB82-08 178.00 0.1336 8.39325
1581046.918922 5097278.324321              CB82-08 179.00 0.1331 8.48353
1581028.981996 5097295.738725              CB82-08 180.00 0.1330 7.19376
1581011.045070 5097313.153129              CB82-08 181.00 0.1324 7.64477
1580993.108143 5097330.567533              CB82-08 182.00 0.1320 7.59837
1580975.171217 5097347.981937              CB82-08 183.00 0.1319 7.30863
1580957.234291 5097365.396341              CB82-08 184.00 0.1321 5.62378
1580939.297246 5097382.810861              CB82-08 185.00 0.1323 4.96279
1580921.360320 5097400.225265              CB82-08 186.00 0.1321 6.19888
1580903.423393 5097417.639669              CB82-08 187.00 0.1323 6.18601
1580885.486467 5097435.054073              CB82-08 188.00 0.1328 6.41693
1580867.549541 5097452.468477              CB82-08 189.00 0.1332 5.36603
1580849.612615 5097469.882881              CB82-08 190.00 0.1331 6.00314
1580831.675689 5097487.297285              CB82-08 191.00 0.1330 5.73963
1580813.738762 5097504.711689              CB82-08 192.00 0.1331 5.48638
1580795.801836 5097522.126093              CB82-08 193.00 0.1330 5.43559
1580777.864910 5097539.540497              CB82-08 194.00 0.1332 4.81372
1580759.927984 5097556.954901              CB82-08 195.00 0.1329 3.99963
1580741.990939 5097574.369420              CB82-08 196.00 0.1325 4.98013
1580724.054012 5097591.783824              CB82-08 197.00 0.1320 6.16984
1580706.117086 5097609.198228              CB82-08 198.00 0.1321 5.94446
1580688.180160 5097626.612632              CB82-08 199.00 0.1321 5.52326
1580670.243234 5097644.027036              CB82-08 200.00 0.1316 7.00821
1580652.306307 5097661.441440              CB82-08 201.00 0.1312 7.17444
1580634.369381 5097678.855844              CB82-08 202.00 0.1308 7.36117
1580616.432455 5097696.270248              CB82-08 203.00 0.1302 7.28068
1580598.495529 5097713.684653              CB82-08 204.00 0.1302 6.15328
1580580.558602 5097731.099057              CB82-08 205.00 0.1298 7.4215
1580562.621676 5097748.513461              CB82-08 206.00 0.1297 7.58733
1580544.684631 5097765.927980              CB82-08 207.00 0.1300 8.22439
1580526.747705 5097783.342384              CB82-08 208.00 0.1297 8.20805
1580508.810779 5097800.756788              CB82-08 209.00 0.1300 7.1747
1580490.873852 5097818.171192              CB82-08 210.00 0.1305 6.09918
1580472.936926 5097835.585596              CB82-08 211.00 0.1302 7.43679
1580455.000000 5097853.000000              CB82-08 212.00 0.1298 10.2436
1580436.888889 5097870.444445              CB82-08 213.00 0.1309 7.20498
1580418.777778 5097887.888889              CB82-08 214.00 0.1305 7.65637
1580400.666665 5097905.333335              CB82-08 215.00 0.1304 8.42261
1580382.555555 5097922.777778              CB82-08 216.00 0.1312 7.06965
1580364.444440 5097940.222226              CB82-08 217.00 0.1310 9.28471
1580346.333330 5097957.666670              CB82-08 218.00 0.1314 9.58656
1580328.222220 5097975.111113              CB82-08 219.00 0.1317 9.92982
1580310.111110 5097992.555557              CB82-08 220.00 0.1321 9.31543
1580292.000000 5098010.000000              CB82-08 221.00 0.1331 8.13431
1580273.909090 5098027.000001              CB82-08 222.00 0.1331 10.6341
1580255.818181 5098044.000001              CB82-08 223.00 0.1332 10.6451
1580237.727271 5098061.000002              CB82-08 224.00 0.1334 10.5083
1580219.636361 5098078.000002              CB82-08 225.00 0.1336 10.2387
1580201.545452 5098095.000003              CB82-08 226.00 0.1338 9.70726
1580183.454542 5098112.000003              CB82-08 227.00 0.1343 9.45275
1580165.363639 5098128.999998              CB82-08 228.00 0.1350 7.86485
1580147.272723 5098146.000004              CB82-08 229.00 0.1357 8.01296
1580129.181819 5098162.999999              CB82-08 230.00 0.1352 6.82557
1580111.090904 5098180.000005              CB82-08 231.00 0.1343 6.16824
1580093.000000 5098197.000000              CB82-08 232.00 0.1331 6.80704
1580074.666666 5098214.416667              CB82-08 233.00 0.1328 5.04878
1580056.333332 5098231.833334              CB82-08 234.00 0.1331 6.84606
1580038.000000 5098249.250000              CB82-08 235.00 0.1337 5.23314
1580019.666664 5098266.666669              CB82-08 236.00 0.1347 5.87417
1580001.333336 5098284.083331              CB82-08 237.00 0.1341 7.84924
1579983.000000 5098301.500000              CB82-08 238.00 0.1336 8.5586
1579964.666671 5098318.916663              CB82-08 239.00 0.1338 8.6551
1579946.333329 5098336.333337              CB82-08 240.00 0.1339 8.79064
1579928.000000 5098353.750000              CB82-08 241.00 0.1346 8.54972
1579909.666671 5098371.166663              CB82-08 242.00 0.1343 7.54195
1579891.333329 5098388.583337              CB82-08 243.00 0.1344 6.58369
1579873.000000 5098406.000000              CB82-08 244.00 0.1343 8.702
1579855.000000 5098423.214286              CB82-08 245.00 0.1342 8.32741
1579836.999999 5098440.428572              CB82-08 246.00 0.1341 8.48279
1579818.999998 5098457.642859              CB82-08 247.00 0.1339 8.73918
1579800.999999 5098474.857144              CB82-08 248.00 0.1336 8.94299
1579783.000000 5098492.071429              CB82-08 249.00 0.1338 8.86569
1579764.999995 5098509.285719              CB82-08 250.00 0.1338 7.75645
1579746.999996 5098526.500004              CB82-08 251.00 0.1330 8.89635
