1570608.250009 5107340.535706              CB82-08 760.00 1.6848 14.6145
1570589.999987 5107357.571441              CB82-08 761.00 1.6846 10.8173
1570571.749996 5107374.607147              CB82-08 762.00 1.6844 7.4705
1570553.500004 5107391.642853              CB82-08 763.00 1.6851 5.29118
1570535.250013 5107408.678559              CB82-08 764.00 1.6841 4.67179
1570516.999991 5107425.714294              CB82-08 765.00 1.6828 3.8251
1570498.750000 5107442.750000              CB82-08 766.00 1.6821 2.28463
1570480.500009 5107459.785706              CB82-08 767.00 1.6814 -0.135575
1570462.249987 5107476.821441              CB82-08 768.00 1.6807 -2.24204
1570443.999996 5107493.857147              CB82-08 769.00 1.6800 -4.24148
1570425.750004 5107510.892853              CB82-08 770.00 1.6795 -5.31124
1570407.500013 5107527.928559              CB82-08 771.00 1.6791 -5.9726
1570389.249991 5107544.964294              CB82-08 772.00 1.6786 -6.4886
1570371.000000 5107562.000000              CB82-08 773.00 1.6781 -6.23652
1570352.500000 5107579.500000              CB82-08 774.00 1.6777 -5.56102
1570334.000000 5107597.000000              CB82-08 775.00 1.6772 -4.62107
1570315.500000 5107614.500000              CB82-08 776.00 1.6762 -3.64973
1570297.000000 5107632.000000              CB82-08 777.00 1.6751 -3.10327
1570279.142856 5107649.142858              CB82-08 778.00 1.6740 -3.63882
1570261.285713 5107666.285716              CB82-08 779.00 1.6730 -4.59023
1570243.428571 5107683.428572              CB82-08 780.00 1.6719 -4.37681
1570225.571425 5107700.571432              CB82-08 781.00 1.6708 -2.41718
1570207.714284 5107717.714288              CB82-08 782.00 1.6693 0.215233
1570189.857142 5107734.857144              CB82-08 783.00 1.6677 2.39601
1570172.000000 5107752.000000              CB82-08 784.00 1.6661 5.21944
1570154.315789 5107769.473684              CB82-08 785.00 1.6645 7.19792
1570136.631579 5107786.947369              CB82-08 786.00 1.6626 8.73427
1570118.947371 5107804.421051              CB82-08 787.00 1.6608 9.35711
1570101.263157 5107821.894737              CB82-08 788.00 1.6605 8.09152
1570083.578944 5107839.368424              CB82-08 789.00 1.6602 6.5827
1570065.894741 5107856.842101              CB82-08 790.00 1.6599 7.95677
1570048.210528 5107874.315788              CB82-08 791.00 1.6596 12.8818
1570030.526315 5107891.789475              CB82-08 792.00 1.6582 15.8426
1570012.842102 5107909.263162              CB82-08 793.00 1.6568 16.3465
1569995.157888 5107926.736848              CB82-08 794.00 1.6526 15.0779
1569977.473685 5107944.210525              CB82-08 795.00 1.6484 15.0603
1569959.789482 5107961.684202              CB82-08 796.00 1.6442 15.5617
1569942.105259 5107979.157899              CB82-08 797.00 1.6400 18.9818
1569924.421056 5107996.631576              CB82-08 798.00 1.6374 24.0194
1569906.736833 5108014.105273              CB82-08 799.00 1.6355 27.2767
1569889.052629 5108031.578949              CB82-08 800.00 1.6336 27.8672
1569871.368426 5108049.052626              CB82-08 801.00 1.6321 25.0076
1569853.684203 5108066.526323              CB82-08 802.00 1.6308 18.1793
1569836.000000 5108084.000000              CB82-08 803.00 1.6174 13.5296
1569818.499999 5108101.666667              CB82-08 804.00 1.6156 18.6556
1569800.999999 5108119.333334              CB82-08 805.00 1.6146 18.7388
1569783.500000 5108137.000000              CB82-08 806.00 1.6143 15.9124
1569765.999998 5108154.666669              CB82-08 807.00 1.6107 12.0765
1569748.500002 5108172.333331              CB82-08 808.00 1.6051 14.1871
1569731.000000 5108190.000000              CB82-08 809.00 1.6046 17.9201
1569713.500004 5108207.666662              CB82-08 810.00 1.6052 20.773
1569695.999996 5108225.333338              CB82-08 811.00 1.6062 22.412
1569678.500000 5108243.000000              CB82-08 812.00 1.6073 24.3654
1569661.000004 5108260.666662              CB82-08 813.00 1.6082 25.9472
1569643.499996 5108278.333338              CB82-08 814.00 1.6094 27.8697
1569626.000000 5108296.000000              CB82-08 815.00 1.6108 30.0026
1569608.785714 5108313.285715              CB82-08 816.00 1.6121 32.4532
1569591.571427 5108330.571430              CB82-08 817.00 1.6131 33.2734
1569574.357142 5108347.857143              CB82-08 818.00 1.6137 33.1293
1569557.142854 5108365.142860              CB82-08 819.00 1.6144 31.7187
1569539.928569 5108382.428573              CB82-08 820.00 1.6150 30.7566
1569522.714285 5108399.714287              CB82-08 821.00 1.6156 30.3503
1569505.500000 5108417.000000              CB82-08 822.00 1.6163 30.2529
1569488.285708 5108434.285720              CB82-08 823.00 1.6171 30.5546
1569471.071431 5108451.571427              CB82-08 824.00 1.6178 30.9635
1569453.857139 5108468.857147              CB82-08 825.00 1.6187 31.6426
1569436.642861 5108486.142853              CB82-08 826.00 1.6197 33.9342
1569419.428569 5108503.428573              CB82-08 827.00 1.6206 36.4026
1569402.214292 5108520.714280              CB82-08 828.00 1.6220 37.6765
1569385.000000 5108538.000000              CB82-08 829.00 1.6235 38.2744
1569367.125000 5108555.687500              CB82-08 830.00 1.6251 39.0519
1569349.250000 5108573.375000              CB82-08 831.00 1.6266 38.5428
1569331.375000 5108591.062500              CB82-08 832.00 1.6284 38.7248
1569313.500000 5108608.750000              CB82-08 833.00 1.6299 39.9601
1569295.625000 5108626.437500              CB82-08 834.00 1.6314 43.7059
1569277.750000 5108644.125000              CB82-08 835.00 1.6322 46.6249
1569259.875000 5108661.812500              CB82-08 836.00 1.6330 46.5294
