1570297.000000 5107632.000000              CB82-08 777.00 1.7431 16.2999
1570279.142856 5107649.142858              CB82-08 778.00 1.7430 17.3541
1570261.285713 5107666.285716              CB82-08 779.00 1.7427 16.7874
1570243.428571 5107683.428572              CB82-08 780.00 1.7421 15.3933
1570225.571425 5107700.571432              CB82-08 781.00 1.7408 13.5559
1570207.714284 5107717.714288              CB82-08 782.00 1.7394 11.3454
1570189.857142 5107734.857144              CB82-08 783.00 1.7378 9.09045
1570172.000000 5107752.000000              CB82-08 784.00 1.7333 6.78062
1570154.315789 5107769.473684              CB82-08 785.00 1.7232 8.40307
1570136.631579 5107786.947369              CB82-08 786.00 1.7211 11.9687
1570118.947371 5107804.421051              CB82-08 787.00 1.7199 12.7043
1570101.263157 5107821.894737              CB82-08 788.00 1.7186 11.5342
1570083.578944 5107839.368424              CB82-08 789.00 1.7176 11.5179
1570065.894741 5107856.842101              CB82-08 790.00 1.7171 12.7948
1570048.210528 5107874.315788              CB82-08 791.00 1.7166 13.0105
1570030.526315 5107891.789475              CB82-08 792.00 1.7164 11.392
1570012.842102 5107909.263162              CB82-08 793.00 1.7140 7.50545
1569995.157888 5107926.736848              CB82-08 794.00 1.7040 11.1823
1569977.473685 5107944.210525              CB82-08 795.00 1.7024 13.7972
1569959.789482 5107961.684202              CB82-08 796.00 1.7011 13.9019
1569942.105259 5107979.157899              CB82-08 797.00 1.6992 11.4818
1569924.421056 5107996.631576              CB82-08 798.00 1.6964 9.41773
1569906.736833 5108014.105273              CB82-08 799.00 1.6923 8.85032
1569889.052629 5108031.578949              CB82-08 800.00 1.6891 8.73489
1569871.368426 5108049.052626              CB82-08 801.00 1.6847 8.57742
1569853.684203 5108066.526323              CB82-08 802.00 1.6813 8.30268
1569836.000000 5108084.000000              CB82-08 803.00 1.6773 7.31531
1569818.499999 5108101.666667              CB82-08 804.00 1.6720 9.3921
1569800.999999 5108119.333334              CB82-08 805.00 1.6708 11.6118
1569783.500000 5108137.000000              CB82-08 806.00 1.6708 12.257
1569765.999998 5108154.666669              CB82-08 807.00 1.6708 11.6789
