1581405.657684 5096930.036010              CB82-08 159.00 1.3908 4.80265
1581387.720758 5096947.450414              CB82-08 160.00 1.3910 4.96493
1581369.783832 5096964.864818              CB82-08 161.00 1.3911 4.94598
1581351.846906 5096982.279222              CB82-08 162.00 1.3908 4.81694
1581333.909861 5096999.693741              CB82-08 163.00 1.3909 4.33718
1581315.972934 5097017.108145              CB82-08 164.00 1.3903 4.05501
1581298.036008 5097034.522550              CB82-08 165.00 1.3899 4.42952
1581280.099082 5097051.936954              CB82-08 166.00 1.3902 5.02746
1581262.162156 5097069.351358              CB82-08 167.00 1.3900 4.86752
1581244.225230 5097086.765762              CB82-08 168.00 1.3902 4.6075
1581226.288303 5097104.180166              CB82-08 169.00 1.3901 4.51569
1581208.351377 5097121.594570              CB82-08 170.00 1.3895 4.08542
1581190.414451 5097139.008974              CB82-08 171.00 1.3896 3.83818
1581172.477525 5097156.423378              CB82-08 172.00 1.3892 4.40686
1581154.540598 5097173.837782              CB82-08 173.00 1.3889 4.2424
1581136.603553 5097191.252301              CB82-08 174.00 1.3888 4.65061
1581118.666627 5097208.666705              CB82-08 175.00 1.3887 4.97759
1581100.729701 5097226.081109              CB82-08 176.00 1.3884 5.54733
1581082.792775 5097243.495513              CB82-08 177.00 1.3881 5.56836
1581064.855848 5097260.909917              CB82-08 178.00 1.3880 5.38346
1581046.918922 5097278.324321              CB82-08 179.00 1.3877 5.40632
1581028.981996 5097295.738725              CB82-08 180.00 1.3873 4.7548
1581011.045070 5097313.153129              CB82-08 181.00 1.3873 4.36225
1580993.108143 5097330.567533              CB82-08 182.00 1.3872 4.196
1580975.171217 5097347.981937              CB82-08 183.00 1.3868 4.08394
1580957.234291 5097365.396341              CB82-08 184.00 1.3864 3.75596
1580939.297246 5097382.810861              CB82-08 185.00 1.3862 4.09611
1580921.360320 5097400.225265              CB82-08 186.00 1.3860 4.26821
1580903.423393 5097417.639669              CB82-08 187.00 1.3857 3.92179
1580885.486467 5097435.054073              CB82-08 188.00 1.3856 4.10455
1580867.549541 5097452.468477              CB82-08 189.00 1.3850 4.06022
1580849.612615 5097469.882881              CB82-08 190.00 1.3848 3.82022
1580831.675689 5097487.297285              CB82-08 191.00 1.3843 4.13055
1580813.738762 5097504.711689              CB82-08 192.00 1.3846 3.93344
1580795.801836 5097522.126093              CB82-08 193.00 1.3848 3.99027
1580777.864910 5097539.540497              CB82-08 194.00 1.3848 3.77178
1580759.927984 5097556.954901              CB82-08 195.00 1.3846 3.76496
1580741.990939 5097574.369420              CB82-08 196.00 1.3844 3.511
1580724.054012 5097591.783824              CB82-08 197.00 1.3844 3.53939
1580706.117086 5097609.198228              CB82-08 198.00 1.3841 3.63972
1580688.180160 5097626.612632              CB82-08 199.00 1.3837 3.18346
1580670.243234 5097644.027036              CB82-08 200.00 1.3834 3.67256
1580652.306307 5097661.441440              CB82-08 201.00 1.3840 4.20144
1580634.369381 5097678.855844              CB82-08 202.00 1.3842 3.96507
1580616.432455 5097696.270248              CB82-08 203.00 1.3834 4.09055
1580598.495529 5097713.684653              CB82-08 204.00 1.3834 3.8707
1580580.558602 5097731.099057              CB82-08 205.00 1.3835 3.72082
1580562.621676 5097748.513461              CB82-08 206.00 1.3830 3.96885
1580544.684631 5097765.927980              CB82-08 207.00 1.3831 4.13252
1580526.747705 5097783.342384              CB82-08 208.00 1.3830 4.51506
1580508.810779 5097800.756788              CB82-08 209.00 1.3828 4.16687
1580490.873852 5097818.171192              CB82-08 210.00 1.3823 3.42494
1580472.936926 5097835.585596              CB82-08 211.00 1.3826 3.17095
1580455.000000 5097853.000000              CB82-08 212.00 1.3826 3.28006
1580436.888889 5097870.444445              CB82-08 213.00 1.3829 3.11713
1580418.777778 5097887.888889              CB82-08 214.00 1.3820 2.64911
1580400.666665 5097905.333335              CB82-08 215.00 1.3824 2.63992
1580382.555555 5097922.777778              CB82-08 216.00 1.3835 2.60576
1580364.444440 5097940.222226              CB82-08 217.00 1.3833 2.63817
1580346.333330 5097957.666670              CB82-08 218.00 1.3842 2.49553
1580328.222220 5097975.111113              CB82-08 219.00 1.3845 2.70385
1580310.111110 5097992.555557              CB82-08 220.00 1.3844 2.93707
1580292.000000 5098010.000000              CB82-08 221.00 1.3842 3.19911
1580273.909090 5098027.000001              CB82-08 222.00 1.3847 3.58964
