1580957.234291 5097365.396341              CB82-08 184.00 1.0114 8.32999
1580939.297246 5097382.810861              CB82-08 185.00 1.0113 8.12128
1580921.360320 5097400.225265              CB82-08 186.00 1.0111 7.71282
1580903.423393 5097417.639669              CB82-08 187.00 1.0109 7.52726
1580885.486467 5097435.054073              CB82-08 188.00 1.0102 7.53995
1580867.549541 5097452.468477              CB82-08 189.00 1.0095 7.63958
1580849.612615 5097469.882881              CB82-08 190.00 1.0087 7.70304
1580831.675689 5097487.297285              CB82-08 191.00 1.0081 7.66987
1580813.738762 5097504.711689              CB82-08 192.00 1.0080 7.58945
1580795.801836 5097522.126093              CB82-08 193.00 1.0078 7.32401
1580777.864910 5097539.540497              CB82-08 194.00 1.0070 7.09654
1580759.927984 5097556.954901              CB82-08 195.00 1.0058 7.58057
1580741.990939 5097574.369420              CB82-08 196.00 1.0055 8.36339
1580724.054012 5097591.783824              CB82-08 197.00 1.0049 8.9666
1580706.117086 5097609.198228              CB82-08 198.00 1.0049 9.36572
1580688.180160 5097626.612632              CB82-08 199.00 1.0049 9.40664
1580670.243234 5097644.027036              CB82-08 200.00 1.0051 9.55272
1580652.306307 5097661.441440              CB82-08 201.00 1.0049 9.40633
1580634.369381 5097678.855844              CB82-08 202.00 1.0046 9.97172
1580616.432455 5097696.270248              CB82-08 203.00 1.0041 9.85163
1580598.495529 5097713.684653              CB82-08 204.00 1.0040 9.73023
1580580.558602 5097731.099057              CB82-08 205.00 1.0038 10.3402
1580562.621676 5097748.513461              CB82-08 206.00 1.0038 10.2794
1580544.684631 5097765.927980              CB82-08 207.00 1.0036 10.3025
1580526.747705 5097783.342384              CB82-08 208.00 1.0032 10.1322
1580508.810779 5097800.756788              CB82-08 209.00 1.0026 9.58346
1580490.873852 5097818.171192              CB82-08 210.00 1.0019 9.83688
1580472.936926 5097835.585596              CB82-08 211.00 1.0013 9.77663
1580455.000000 5097853.000000              CB82-08 212.00 1.0012 9.73387
1580436.888889 5097870.444445              CB82-08 213.00 1.0012 9.88782
