1583143.560006 5095255.639994              CB82-08 62.00 1.4608 -16.5319
1583125.719997 5095271.680003              CB82-08 63.00 1.4608 -16.9363
1583107.879987 5095287.720011              CB82-08 64.00 1.4609 -17.3852
1583090.040004 5095303.759996              CB82-08 65.00 1.4609 -17.6449
1583072.199995 5095319.800005              CB82-08 66.00 1.4609 -17.0671
1583054.360012 5095335.839989              CB82-08 67.00 1.4609 -16.104
1583036.520002 5095351.879998              CB82-08 68.00 1.4608 -15.0685
1583018.679993 5095367.920007              CB82-08 69.00 1.4606 -14.5651
1583000.840010 5095383.959991              CB82-08 70.00 1.4605 -14.7025
1582983.000000 5095400.000000              CB82-08 71.00 1.4605 -15.3599
1582964.833333 5095417.750001              CB82-08 72.00 1.4603 -16.1463
1582946.666666 5095435.500001              CB82-08 73.00 1.4603 -16.571
1582928.500000 5095453.250000              CB82-08 74.00 1.4602 -16.9387
1582910.333331 5095471.000002              CB82-08 75.00 1.4600 -16.2055
1582892.166669 5095488.749998              CB82-08 76.00 1.4596 -15.2314
1582874.000000 5095506.500000              CB82-08 77.00 1.4593 -14.6154
1582855.833338 5095524.249996              CB82-08 78.00 1.4588 -13.9372
1582837.666662 5095542.000004              CB82-08 79.00 1.4584 -13.7527
1582819.500000 5095559.750000              CB82-08 80.00 1.4583 -13.6791
1582801.333338 5095577.499996              CB82-08 81.00 1.4578 -13.7788
1582783.166662 5095595.250004              CB82-08 82.00 1.4574 -13.7834
1582765.000000 5095613.000000              CB82-08 83.00 1.4571 -13.3239
1582747.277778 5095630.055556              CB82-08 84.00 1.4569 -13.279
1582729.555555 5095647.111111              CB82-08 85.00 1.4566 -12.6284
1582711.833332 5095664.166668              CB82-08 86.00 1.4565 -12.1
1582694.111111 5095681.222223              CB82-08 87.00 1.4565 -11.5407
1582676.388885 5095698.277782              CB82-08 88.00 1.4564 -11.3238
1582658.666663 5095715.333336              CB82-08 89.00 1.4563 -11.7819
1582640.944442 5095732.388891              CB82-08 90.00 1.4562 -12.4777
1582623.222221 5095749.444445              CB82-08 91.00 1.4560 -13.1365
1582605.500000 5095766.500000              CB82-08 92.00 1.4560 -14.1452
1582587.777769 5095783.555564              CB82-08 93.00 1.4561 -14.9477
1582570.055558 5095800.611109              CB82-08 94.00 1.4560 -14.9406
1582552.333327 5095817.666673              CB82-08 95.00 1.4559 -14.7846
1582534.611115 5095834.722218              CB82-08 96.00 1.4558 -14.5406
1582516.888885 5095851.777782              CB82-08 97.00 1.4557 -14.5662
1582499.166673 5095868.833327              CB82-08 98.00 1.4555 -14.8086
1582481.444442 5095885.888891              CB82-08 99.00 1.4553 -15.3065
1582463.722231 5095902.944436              CB82-08 100.00 1.4551 -15.9815
1582446.000000 5095920.000000              CB82-08 101.00 1.4550 -16.1405
1582428.063063 5095937.414415              CB82-08 102.00 1.4548 -15.9323
1582410.126125 5095954.828830              CB82-08 103.00 1.4544 -15.8637
1582392.189188 5095972.243245              CB82-08 104.00 1.4541 -15.7699
1582374.252251 5095989.657659              CB82-08 105.00 1.4539 -15.3188
1582356.315317 5096007.072071              CB82-08 106.00 1.4538 -14.0492
1582338.378376 5096024.486489              CB82-08 107.00 1.4538 -13.9214
1582320.441442 5096041.900900              CB82-08 108.00 1.4538 -14.6765
1582302.504501 5096059.315319              CB82-08 109.00 1.4536 -15.2517
1582284.567575 5096076.729723              CB82-08 110.00 1.4535 -15.2442
1582266.630634 5096094.144141              CB82-08 111.00 1.4535 -14.917
1582248.693693 5096111.558560              CB82-08 112.00 1.4536 -15.0131
1582230.756752 5096128.972978              CB82-08 113.00 1.4536 -15.2596
1582212.819825 5096146.387382              CB82-08 114.00 1.4535 -15.3165
1582194.882884 5096163.801801              CB82-08 115.00 1.4535 -15.5137
1582176.945958 5096181.216205              CB82-08 116.00 1.4536 -15.0462
1582159.009002 5096198.630637              CB82-08 117.00 1.4535 -14.2609
1582141.072076 5096216.045041              CB82-08 118.00 1.4532 -13.8618
1582123.135150 5096233.459445              CB82-08 119.00 1.4529 -13.3639
1582105.198194 5096250.873878              CB82-08 120.00 1.4527 -13.1241
1582087.261267 5096268.288282              CB82-08 121.00 1.4525 -14.0847
1582069.324311 5096285.702715              CB82-08 122.00 1.4522 -15.101
1582051.387385 5096303.117119              CB82-08 123.00 1.4519 -15.2159
1582033.450459 5096320.531523              CB82-08 124.00 1.4515 -14.2553
1582015.513503 5096337.945956              CB82-08 125.00 1.4513 -13.444
1581997.576577 5096355.360360              CB82-08 126.00 1.4511 -12.7005
1581979.639651 5096372.774764              CB82-08 127.00 1.4508 -12.9368
1581961.702695 5096390.189197              CB82-08 128.00 1.4504 -13.2171
1581943.765768 5096407.603601              CB82-08 129.00 1.4501 -13.3881
1581925.828842 5096425.018005              CB82-08 130.00 1.4498 -13.7718
1581907.891916 5096442.432409              CB82-08 131.00 1.4494 -13.7906
1581889.954930 5096459.846871              CB82-08 132.00 1.4491 -13.4306
1581872.018004 5096477.261275              CB82-08 133.00 1.4490 -13.1899
1581854.081078 5096494.675679              CB82-08 134.00 1.4488 -13.5266
1581836.144152 5096512.090083              CB82-08 135.00 1.4484 -14.3598
1581818.207225 5096529.504487              CB82-08 136.00 1.4481 -15.3854
1581800.270299 5096546.918891              CB82-08 137.00 1.4477 -15.4234
1581782.333314 5096564.333353              CB82-08 138.00 1.4472 -15.3672
1581764.396387 5096581.747757              CB82-08 139.00 1.4466 -15.0463
1581746.459461 5096599.162161              CB82-08 140.00 1.4461 -14.3341
1581728.522535 5096616.576565              CB82-08 141.00 1.4457 -14.1079
1581710.585609 5096633.990969              CB82-08 142.00 1.4455 -13.8634
1581692.648623 5096651.405430              CB82-08 143.00 1.4454 -13.619
1581674.711697 5096668.819834              CB82-08 144.00 1.4451 -13.5189
1581656.774770 5096686.234238              CB82-08 145.00 1.4447 -13.8629
