1582212.819825 5096146.387382              CB82-08 114.00 1.3767 3.65432
1582194.882884 5096163.801801              CB82-08 115.00 1.3763 3.65915
1582176.945958 5096181.216205              CB82-08 116.00 1.3759 2.88192
1582159.009002 5096198.630637              CB82-08 117.00 1.3747 2.1495
1582141.072076 5096216.045041              CB82-08 118.00 1.3760 2.12271
1582123.135150 5096233.459445              CB82-08 119.00 1.3760 2.20376
1582105.198194 5096250.873878              CB82-08 120.00 1.3755 2.06195
1582087.261267 5096268.288282              CB82-08 121.00 1.3747 2.16526
1582069.324311 5096285.702715              CB82-08 122.00 1.3740 1.82781
1582051.387385 5096303.117119              CB82-08 123.00 1.3727 2.10975
1582033.450459 5096320.531523              CB82-08 124.00 1.3722 1.96454
1582015.513503 5096337.945956              CB82-08 125.00 1.3740 1.34797
1581997.576577 5096355.360360              CB82-08 126.00 1.3740 1.49222
1581979.639651 5096372.774764              CB82-08 127.00 1.3728 1.68751
1581961.702695 5096390.189197              CB82-08 128.00 1.3740 1.74185
1581943.765768 5096407.603601              CB82-08 129.00 1.3727 2.31067
1581925.828842 5096425.018005              CB82-08 130.00 1.3729 2.36133
1581907.891916 5096442.432409              CB82-08 131.00 1.3742 2.70179
1581889.954930 5096459.846871              CB82-08 132.00 1.3728 2.91393
1581872.018004 5096477.261275              CB82-08 133.00 1.3726 3.10555
1581854.081078 5096494.675679              CB82-08 134.00 1.3723 2.7109
1581836.144152 5096512.090083              CB82-08 135.00 1.3727 2.59059
1581818.207225 5096529.504487              CB82-08 136.00 1.3734 2.52096
1581800.270299 5096546.918891              CB82-08 137.00 1.3712 1.70667
1581782.333314 5096564.333353              CB82-08 138.00 1.3693 1.68403
1581764.396387 5096581.747757              CB82-08 139.00 1.3685 2.55404
1581746.459461 5096599.162161              CB82-08 140.00 1.3680 2.44164
1581728.522535 5096616.576565              CB82-08 141.00 1.3693 2.46704
1581710.585609 5096633.990969              CB82-08 142.00 1.3685 2.73277
1581692.648623 5096651.405430              CB82-08 143.00 1.3688 2.86646
1581674.711697 5096668.819834              CB82-08 144.00 1.3685 2.38484
1581656.774770 5096686.234238              CB82-08 145.00 1.3656 2.33617
1581638.837844 5096703.648642              CB82-08 146.00 1.3649 2.40188
1581620.900918 5096721.063046              CB82-08 147.00 1.3660 2.58054
1581602.963992 5096738.477450              CB82-08 148.00 1.3664 2.72995
1581585.027006 5096755.891912              CB82-08 149.00 1.3667 2.40791
1581567.090080 5096773.306316              CB82-08 150.00 1.3660 2.05919
1581549.153154 5096790.720720              CB82-08 151.00 1.3663 2.00856
1581531.216227 5096808.135124              CB82-08 152.00 1.3651 2.187
1581513.279301 5096825.549528              CB82-08 153.00 1.3645 2.17531
1581495.342316 5096842.963990              CB82-08 154.00 1.3636 2.94415
1581477.405389 5096860.378394              CB82-08 155.00 1.3628 3.77183
1581459.468463 5096877.792798              CB82-08 156.00 1.3620 3.74455
1581441.531537 5096895.207202              CB82-08 157.00 1.3596 3.54108
1581423.594611 5096912.621606              CB82-08 158.00 1.3592 2.75874
1581405.657684 5096930.036010              CB82-08 159.00 1.3602 2.46414
1581387.720758 5096947.450414              CB82-08 160.00 1.3607 2.42327
1581369.783832 5096964.864818              CB82-08 161.00 1.3615 2.587
1581351.846906 5096982.279222              CB82-08 162.00 1.3620 2.67297
1581333.909861 5096999.693741              CB82-08 163.00 1.3609 2.857
1581315.972934 5097017.108145              CB82-08 164.00 1.3613 3.34398
1581298.036008 5097034.522550              CB82-08 165.00 1.3623 3.35976
1581280.099082 5097051.936954              CB82-08 166.00 1.3600 2.78195
1581262.162156 5097069.351358              CB82-08 167.00 1.3593 2.86247
1581172.477525 5097156.423378              CB82-08 172.00 1.3570 2.57519
1581154.540598 5097173.837782              CB82-08 173.00 1.3580 2.82723
1581136.603553 5097191.252301              CB82-08 174.00 1.3576 2.59026
1581118.666627 5097208.666705              CB82-08 175.00 1.3569 2.46993
1581100.729701 5097226.081109              CB82-08 176.00 1.3567 1.84487
1581082.792775 5097243.495513              CB82-08 177.00 1.3600 1.39137
1581064.855848 5097260.909917              CB82-08 178.00 1.3627 1.46945
1581046.918922 5097278.324321              CB82-08 179.00 1.3620 1.34894
1581028.981996 5097295.738725              CB82-08 180.00 1.3590 1.66138
1581011.045070 5097313.153129              CB82-08 181.00 1.3576 1.79208
1580993.108143 5097330.567533              CB82-08 182.00 1.3560 1.79406
1580975.171217 5097347.981937              CB82-08 183.00 1.3551 1.66327
1580957.234291 5097365.396341              CB82-08 184.00 1.3555 2.02676
1580903.423393 5097417.639669              CB82-08 187.00 1.3544 1.83285
1580885.486467 5097435.054073              CB82-08 188.00 1.3540 1.88356
1580867.549541 5097452.468477              CB82-08 189.00 1.3533 1.65554
1580849.612615 5097469.882881              CB82-08 190.00 1.3528 1.66486
1580831.675689 5097487.297285              CB82-08 191.00 1.3534 1.99187
1580813.738762 5097504.711689              CB82-08 192.00 1.3537 2.41289
1580795.801836 5097522.126093              CB82-08 193.00 1.3533 2.69503
1580777.864910 5097539.540497              CB82-08 194.00 1.3522 3.28468
1580759.927984 5097556.954901              CB82-08 195.00 1.3521 3.38036
1580741.990939 5097574.369420              CB82-08 196.00 1.3520 3.2713
1580724.054012 5097591.783824              CB82-08 197.00 1.3514 3.32552
1580706.117086 5097609.198228              CB82-08 198.00 1.3513 3.18797
1580688.180160 5097626.612632              CB82-08 199.00 1.3503 2.90493
1580670.243234 5097644.027036              CB82-08 200.00 1.3493 3.00891
1580652.306307 5097661.441440              CB82-08 201.00 1.3491 2.9658
1580634.369381 5097678.855844              CB82-08 202.00 1.3488 2.57538
1580616.432455 5097696.270248              CB82-08 203.00 1.3484 2.46924
1580598.495529 5097713.684653              CB82-08 204.00 1.3482 2.46828
1580580.558602 5097731.099057              CB82-08 205.00 1.3475 2.52472
1580562.621676 5097748.513461              CB82-08 206.00 1.3476 2.53844
1580544.684631 5097765.927980              CB82-08 207.00 1.3480 2.79979
1580526.747705 5097783.342384              CB82-08 208.00 1.3476 2.89116
1580508.810779 5097800.756788              CB82-08 209.00 1.3470 2.66158
1580490.873852 5097818.171192              CB82-08 210.00 1.3465 2.6275
1580472.936926 5097835.585596              CB82-08 211.00 1.3455 2.48069
