1582212.819825 5096146.387382              CB82-08 114.00 1.6724 0.562863
1582194.882884 5096163.801801              CB82-08 115.00 1.6720 0.242026
1582176.945958 5096181.216205              CB82-08 116.00 1.6715 0.45266
1582159.009002 5096198.630637              CB82-08 117.00 1.6711 0.649935
1582141.072076 5096216.045041              CB82-08 118.00 1.6707 0.867245
1582123.135150 5096233.459445              CB82-08 119.00 1.6702 0.823641
1582105.198194 5096250.873878              CB82-08 120.00 1.6698 0.406173
1582087.261267 5096268.288282              CB82-08 121.00 1.6693 -0.193298
1582069.324311 5096285.702715              CB82-08 122.00 1.6689 -0.422347
1582051.387385 5096303.117119              CB82-08 123.00 1.6684 -0.134745
1582033.450459 5096320.531523              CB82-08 124.00 1.6680 0.21599
1582015.513503 5096337.945956              CB82-08 125.00 1.6676 0.552195
1581997.576577 5096355.360360              CB82-08 126.00 1.6671 0.537642
1581979.639651 5096372.774764              CB82-08 127.00 1.6667 0.392443
1581961.702695 5096390.189197              CB82-08 128.00 1.6662 0.196264
1581943.765768 5096407.603601              CB82-08 129.00 1.6658 -0.0323496
1581925.828842 5096425.018005              CB82-08 130.00 1.6653 -0.385336
1581907.891916 5096442.432409              CB82-08 131.00 1.6648 -0.175484
1581889.954930 5096459.846871              CB82-08 132.00 1.6643 0.176389
1581872.018004 5096477.261275              CB82-08 133.00 1.6638 0.0356977
1581854.081078 5096494.675679              CB82-08 134.00 1.6633 -0.0445771
1581836.144152 5096512.090083              CB82-08 135.00 1.6628 0.0892061
1581818.207225 5096529.504487              CB82-08 136.00 1.6623 -0.160326
1581800.270299 5096546.918891              CB82-08 137.00 1.6618 -0.235904
1581782.333314 5096564.333353              CB82-08 138.00 1.6613 0.254255
1581764.396387 5096581.747757              CB82-08 139.00 1.6608 0.451295
1581746.459461 5096599.162161              CB82-08 140.00 1.6603 0.482043
1581728.522535 5096616.576565              CB82-08 141.00 1.6598 0.468783
1581710.585609 5096633.990969              CB82-08 142.00 1.6593 0.552802
1581692.648623 5096651.405430              CB82-08 143.00 1.6588 -0.0848105
1581674.711697 5096668.819834              CB82-08 144.00 1.6583 -1.17912
1581656.774770 5096686.234238              CB82-08 145.00 1.6578 -1.93957
1581638.837844 5096703.648642              CB82-08 146.00 1.6573 -2.28011
1581620.900918 5096721.063046              CB82-08 147.00 1.6568 -2.32131
1581602.963992 5096738.477450              CB82-08 148.00 1.6563 -1.90265
1581585.027006 5096755.891912              CB82-08 149.00 1.6558 -1.66171
1581567.090080 5096773.306316              CB82-08 150.00 1.6553 -1.69641
1581549.153154 5096790.720720              CB82-08 151.00 1.6548 -1.74019
1581531.216227 5096808.135124              CB82-08 152.00 1.6543 -1.63818
1581513.279301 5096825.549528              CB82-08 153.00 1.6538 -1.8353
1581495.342316 5096842.963990              CB82-08 154.00 1.6533 -1.97125
1581477.405389 5096860.378394              CB82-08 155.00 1.6528 -1.63337
1581459.468463 5096877.792798              CB82-08 156.00 1.6523 -1.40891
1581441.531537 5096895.207202              CB82-08 157.00 1.6518 -0.77015
1581423.594611 5096912.621606              CB82-08 158.00 1.6513 0.100568
1581405.657684 5096930.036010              CB82-08 159.00 1.6509 0.310865
1581387.720758 5096947.450414              CB82-08 160.00 1.6504 0.274197
1581369.783832 5096964.864818              CB82-08 161.00 1.6499 0.344118
1581351.846906 5096982.279222              CB82-08 162.00 1.6494 0.551611
1581333.909861 5096999.693741              CB82-08 163.00 1.6489 0.870634
1581315.972934 5097017.108145              CB82-08 164.00 1.6484 1.13485
1581298.036008 5097034.522550              CB82-08 165.00 1.6480 1.0522
1581280.099082 5097051.936954              CB82-08 166.00 1.6475 0.949805
1581262.162156 5097069.351358              CB82-08 167.00 1.6470 1.15685
1581244.225230 5097086.765762              CB82-08 168.00 1.6465 1.6858
1581226.288303 5097104.180166              CB82-08 169.00 1.6460 2.42196
1581208.351377 5097121.594570              CB82-08 170.00 1.6455 2.7419
1581190.414451 5097139.008974              CB82-08 171.00 1.6450 2.42409
1581172.477525 5097156.423378              CB82-08 172.00 1.6446 1.77431
1581154.540598 5097173.837782              CB82-08 173.00 1.6441 1.5659
1581136.603553 5097191.252301              CB82-08 174.00 1.6436 1.62406
1581118.666627 5097208.666705              CB82-08 175.00 1.6436 1.59552
1581100.729701 5097226.081109              CB82-08 176.00 1.6436 1.25238
1581082.792775 5097243.495513              CB82-08 177.00 1.6436 0.978696
1581064.855848 5097260.909917              CB82-08 178.00 1.6436 0.948158
1581046.918922 5097278.324321              CB82-08 179.00 1.6436 0.898143
1581028.981996 5097295.738725              CB82-08 180.00 1.6436 0.858666
1581011.045070 5097313.153129              CB82-08 181.00 1.6436 1.43218
1580993.108143 5097330.567533              CB82-08 182.00 1.6436 2.22782
1580975.171217 5097347.981937              CB82-08 183.00 1.6436 2.962
1580957.234291 5097365.396341              CB82-08 184.00 1.6436 3.44284
1580939.297246 5097382.810861              CB82-08 185.00 1.6436 2.5344
1580921.360320 5097400.225265              CB82-08 186.00 1.6436 1.58409
1580903.423393 5097417.639669              CB82-08 187.00 1.6436 1.22909
1580885.486467 5097435.054073              CB82-08 188.00 1.6436 1.24302
1580867.549541 5097452.468477              CB82-08 189.00 1.6436 1.40319
1580849.612615 5097469.882881              CB82-08 190.00 1.6433 1.34825
1580831.675689 5097487.297285              CB82-08 191.00 1.6429 0.931244
1580813.738762 5097504.711689              CB82-08 192.00 1.6425 0.646031
1580795.801836 5097522.126093              CB82-08 193.00 1.6422 0.385386
1580777.864910 5097539.540497              CB82-08 194.00 1.6418 0.00507805
1580759.927984 5097556.954901              CB82-08 195.00 1.6415 -0.476924
1580741.990939 5097574.369420              CB82-08 196.00 1.6411 -1.32385
