1570352.500000 5107579.500000              CB82-08 774.00 2075.7800 2075.78
1570334.000000 5107597.000000              CB82-08 775.00 2075.8892 2075.89
1570315.500000 5107614.500000              CB82-08 776.00 2076.2942 2076.29
1570297.000000 5107632.000000              CB82-08 777.00 2076.6978 2076.7
1570279.142856 5107649.142858              CB82-08 778.00 2077.4451 2077.45
1570261.285713 5107666.285716              CB82-08 779.00 2077.7188 2077.72
1570243.428571 5107683.428572              CB82-08 780.00 2077.1177 2077.12
1570225.571425 5107700.571432              CB82-08 781.00 2074.6726 2074.67
1570207.714284 5107717.714288              CB82-08 782.00 2071.9495 2071.95
1570189.857142 5107734.857144              CB82-08 783.00 2068.9912 2068.99
1570172.000000 5107752.000000              CB82-08 784.00 2058.5085 2058.51
1570154.315789 5107769.473684              CB82-08 785.00 2032.6061 2032.61
1570136.631579 5107786.947369              CB82-08 786.00 2028.6783 2028.68
1570118.947371 5107804.421051              CB82-08 787.00 2027.5562 2027.56
1570101.263157 5107821.894737              CB82-08 788.00 2025.8250 2025.82
1570083.578944 5107839.368424              CB82-08 789.00 2024.9447 2024.94
1570065.894741 5107856.842101              CB82-08 790.00 2025.4792 2025.48
1570048.210528 5107874.315788              CB82-08 791.00 2026.2266 2026.23
1570030.526315 5107891.789475              CB82-08 792.00 2027.4440 2027.44
1570012.842102 5107909.263162              CB82-08 793.00 2022.8759 2022.88
1569995.157888 5107926.736848              CB82-08 794.00 1997.6144 1997.61
1569977.473685 5107944.210525              CB82-08 795.00 1995.7552 1995.76
1569959.789482 5107961.684202              CB82-08 796.00 1995.3201 1995.32
1569942.105259 5107979.157899              CB82-08 797.00 1993.2799 1993.28
1569924.421056 5107996.631576              CB82-08 798.00 1989.0432 1989.04
1569906.736833 5108014.105273              CB82-08 799.00 1981.1743 1981.17
1569889.052629 5108031.578949              CB82-08 800.00 1975.9763 1975.98
1569871.368426 5108049.052626              CB82-08 801.00 1967.2800 1967.28
1569853.684203 5108066.526323              CB82-08 802.00 1961.8129 1961.81
1569836.000000 5108084.000000              CB82-08 803.00 1954.4312 1954.43
1569818.499999 5108101.666667              CB82-08 804.00 1943.8046 1943.8
1569800.999999 5108119.333334              CB82-08 805.00 1944.2891 1944.29
1569783.500000 5108137.000000              CB82-08 806.00 1947.3181 1947.32
1569765.999998 5108154.666669              CB82-08 807.00 1949.3472 1949.35
