1571247.432426 5106744.189195              CB82-08 725.00 1326.4738 1326.47
1571229.378383 5106761.540536              CB82-08 726.00 1326.2506 1326.25
1571211.324339 5106778.891877              CB82-08 727.00 1326.3716 1326.37
1571193.270256 5106796.243257              CB82-08 728.00 1327.3660 1327.37
1571175.216213 5106813.594598              CB82-08 729.00 1328.3915 1328.39
1571157.162170 5106830.945939              CB82-08 730.00 1329.4960 1329.5
1571139.108126 5106848.297280              CB82-08 731.00 1330.6027 1330.6
1571121.054043 5106865.648659              CB82-08 732.00 1330.8121 1330.81
1571103.000000 5106883.000000              CB82-08 733.00 1330.6072 1330.61
1571084.583333 5106899.833334              CB82-08 734.00 1329.0356 1329.04
1571066.166666 5106916.666668              CB82-08 735.00 1327.6340 1327.63
1571047.750000 5106933.500000              CB82-08 736.00 1327.2129 1327.21
1571029.333331 5106950.333335              CB82-08 737.00 1327.1013 1327.1
1571010.916669 5106967.166665              CB82-08 738.00 1327.2954 1327.3
1570992.500000 5106984.000000              CB82-08 739.00 1327.3783 1327.38
1570974.083338 5107000.833329              CB82-08 740.00 1327.0353 1327.04
1570955.666662 5107017.666671              CB82-08 741.00 1326.7985 1326.8
1570937.250000 5107034.500000              CB82-08 742.00 1326.3804 1326.38
1570918.833338 5107051.333329              CB82-08 743.00 1325.8923 1325.89
1570900.416662 5107068.166671              CB82-08 744.00 1325.3596 1325.36
1570882.000000 5107085.000000              CB82-08 745.00 1324.7583 1324.76
1570863.749999 5107102.035715              CB82-08 746.00 1324.2804 1324.28
1570845.499998 5107119.071430              CB82-08 747.00 1323.8450 1323.84
1570827.249999 5107136.107143              CB82-08 748.00 1323.0524 1323.05
1570808.999997 5107153.142860              CB82-08 749.00 1322.4246 1322.42
1570790.749998 5107170.178573              CB82-08 750.00 1321.6589 1321.66
1570772.499999 5107187.214287              CB82-08 751.00 1321.1611 1321.16
1570754.250000 5107204.250000              CB82-08 752.00 1321.5640 1321.56
1570735.999993 5107221.285720              CB82-08 753.00 1323.0990 1323.1
1570717.750002 5107238.321427              CB82-08 754.00 1324.2407 1324.24
1570699.499996 5107255.357147              CB82-08 755.00 1325.2445 1325.24
1570681.250004 5107272.392853              CB82-08 756.00 1325.2544 1325.25
1570662.999998 5107289.428573              CB82-08 757.00 1324.6350 1324.64
1570644.750007 5107306.464280              CB82-08 758.00 1324.3590 1324.36
1570626.500000 5107323.500000              CB82-08 759.00 1323.9702 1323.97
1570608.250009 5107340.535706              CB82-08 760.00 1323.6855 1323.69
1570589.999987 5107357.571441              CB82-08 761.00 1322.8213 1322.82
1570571.749996 5107374.607147              CB82-08 762.00 1321.7592 1321.76
1570553.500004 5107391.642853              CB82-08 763.00 1320.8295 1320.83
1570535.250013 5107408.678559              CB82-08 764.00 1320.3020 1320.3
1570516.999991 5107425.714294              CB82-08 765.00 1320.5298 1320.53
1570498.750000 5107442.750000              CB82-08 766.00 1321.2277 1321.23
1570480.500009 5107459.785706              CB82-08 767.00 1322.1183 1322.12
1570462.249987 5107476.821441              CB82-08 768.00 1322.4391 1322.44
1570443.999996 5107493.857147              CB82-08 769.00 1321.4231 1321.42
1570425.750004 5107510.892853              CB82-08 770.00 1320.3212 1320.32
1570407.500013 5107527.928559              CB82-08 771.00 1318.6843 1318.68
