1581818.207225 5096529.504487              CB82-08 136.00 973.7776 973.778
1581800.270299 5096546.918891              CB82-08 137.00 973.6965 973.696
1581782.333314 5096564.333353              CB82-08 138.00 973.4434 973.443
1581764.396387 5096581.747757              CB82-08 139.00 973.3107 973.311
1581746.459461 5096599.162161              CB82-08 140.00 973.4559 973.456
1581728.522535 5096616.576565              CB82-08 141.00 973.2065 973.206
1581710.585609 5096633.990969              CB82-08 142.00 973.0071 973.007
1581692.648623 5096651.405430              CB82-08 143.00 972.6425 972.642
1581674.711697 5096668.819834              CB82-08 144.00 972.2374 972.237
1581656.774770 5096686.234238              CB82-08 145.00 971.4122 971.412
1581638.837844 5096703.648642              CB82-08 146.00 970.7344 970.734
1581620.900918 5096721.063046              CB82-08 147.00 970.1783 970.178
1581602.963992 5096738.477450              CB82-08 148.00 969.3867 969.387
1581585.027006 5096755.891912              CB82-08 149.00 968.6695 968.669
1581567.090080 5096773.306316              CB82-08 150.00 967.7362 967.736
1581549.153154 5096790.720720              CB82-08 151.00 967.3362 967.336
1581531.216227 5096808.135124              CB82-08 152.00 966.9274 966.927
1581513.279301 5096825.549528              CB82-08 153.00 967.1857 967.186
1581495.342316 5096842.963990              CB82-08 154.00 967.3814 967.381
1581477.405389 5096860.378394              CB82-08 155.00 966.4918 966.492
1581459.468463 5096877.792798              CB82-08 156.00 966.0144 966.014
1581441.531537 5096895.207202              CB82-08 157.00 965.6533 965.653
1581423.594611 5096912.621606              CB82-08 158.00 965.2038 965.204
1581405.657684 5096930.036010              CB82-08 159.00 964.5952 964.595
1581387.720758 5096947.450414              CB82-08 160.00 964.3284 964.328
1581369.783832 5096964.864818              CB82-08 161.00 963.8105 963.811
1581351.846906 5096982.279222              CB82-08 162.00 963.1528 963.153
1581333.909861 5096999.693741              CB82-08 163.00 962.9955 962.996
1581315.972934 5097017.108145              CB82-08 164.00 962.5592 962.559
1581298.036008 5097034.522550              CB82-08 165.00 961.9609 961.961
1581280.099082 5097051.936954              CB82-08 166.00 961.5801 961.58
1581262.162156 5097069.351358              CB82-08 167.00 961.3623 961.362
1581244.225230 5097086.765762              CB82-08 168.00 961.0380 961.038
1581226.288303 5097104.180166              CB82-08 169.00 960.4913 960.491
1581208.351377 5097121.594570              CB82-08 170.00 960.2804 960.28
1581190.414451 5097139.008974              CB82-08 171.00 959.9743 959.974
1581172.477525 5097156.423378              CB82-08 172.00 959.8583 959.858
1581154.540598 5097173.837782              CB82-08 173.00 959.5698 959.57
1581136.603553 5097191.252301              CB82-08 174.00 959.2271 959.227
1581118.666627 5097208.666705              CB82-08 175.00 958.6436 958.644
1581100.729701 5097226.081109              CB82-08 176.00 957.9864 957.986
1581082.792775 5097243.495513              CB82-08 177.00 957.2393 957.239
1581064.855848 5097260.909917              CB82-08 178.00 956.7077 956.708
1581046.918922 5097278.324321              CB82-08 179.00 956.1957 956.196
1581028.981996 5097295.738725              CB82-08 180.00 955.9374 955.937
1581011.045070 5097313.153129              CB82-08 181.00 955.5294 955.529
1580993.108143 5097330.567533              CB82-08 182.00 955.0130 955.013
1580975.171217 5097347.981937              CB82-08 183.00 954.9019 954.902
1580957.234291 5097365.396341              CB82-08 184.00 954.4240 954.424
1580939.297246 5097382.810861              CB82-08 185.00 954.3092 954.309
1580921.360320 5097400.225265              CB82-08 186.00 954.2256 954.226
1580903.423393 5097417.639669              CB82-08 187.00 954.0104 954.01
1580885.486467 5097435.054073              CB82-08 188.00 953.3716 953.372
1580867.549541 5097452.468477              CB82-08 189.00 952.5941 952.594
1580849.612615 5097469.882881              CB82-08 190.00 951.8826 951.883
1580831.675689 5097487.297285              CB82-08 191.00 951.2820 951.282
1580813.738762 5097504.711689              CB82-08 192.00 951.2770 951.277
1580795.801836 5097522.126093              CB82-08 193.00 951.0845 951.085
1580777.864910 5097539.540497              CB82-08 194.00 950.2563 950.256
1580759.927984 5097556.954901              CB82-08 195.00 949.1238 949.124
1580741.990939 5097574.369420              CB82-08 196.00 948.8203 948.82
1580724.054012 5097591.783824              CB82-08 197.00 948.2963 948.296
1580706.117086 5097609.198228              CB82-08 198.00 948.2557 948.256
1580688.180160 5097626.612632              CB82-08 199.00 948.2832 948.283
1580670.243234 5097644.027036              CB82-08 200.00 948.4875 948.487
1580652.306307 5097661.441440              CB82-08 201.00 948.2631 948.263
1580634.369381 5097678.855844              CB82-08 202.00 947.9883 947.988
1580616.432455 5097696.270248              CB82-08 203.00 947.5511 947.551
1580598.495529 5097713.684653              CB82-08 204.00 947.4056 947.406
1580580.558602 5097731.099057              CB82-08 205.00 947.3204 947.32
1580562.621676 5097748.513461              CB82-08 206.00 947.3796 947.38
1580544.684631 5097765.927980              CB82-08 207.00 947.1630 947.163
1580526.747705 5097783.342384              CB82-08 208.00 946.8351 946.835
1580508.810779 5097800.756788              CB82-08 209.00 946.2297 946.23
1580490.873852 5097818.171192              CB82-08 210.00 945.4389 945.439
1580472.936926 5097835.585596              CB82-08 211.00 944.9089 944.909
1580455.000000 5097853.000000              CB82-08 212.00 944.7638 944.764
1580436.888889 5097870.444445              CB82-08 213.00 944.7727 944.773
1580418.777778 5097887.888889              CB82-08 214.00 944.6152 944.615
1580400.666665 5097905.333335              CB82-08 215.00 943.9203 943.92
1580382.555555 5097922.777778              CB82-08 216.00 943.3957 943.396
1580364.444440 5097940.222226              CB82-08 217.00 942.9875 942.988
1580346.333330 5097957.666670              CB82-08 218.00 943.0801 943.08
1580328.222220 5097975.111113              CB82-08 219.00 943.0912 943.091
1580310.111110 5097992.555557              CB82-08 220.00 942.9572 942.957
1580292.000000 5098010.000000              CB82-08 221.00 942.8188 942.819
1580273.909090 5098027.000001              CB82-08 222.00 941.9916 941.992
1580255.818181 5098044.000001              CB82-08 223.00 941.6508 941.651
1580237.727271 5098061.000002              CB82-08 224.00 941.2023 941.202
1580219.636361 5098078.000002              CB82-08 225.00 940.8197 940.82
1580201.545452 5098095.000003              CB82-08 226.00 940.4153 940.415
1580183.454542 5098112.000003              CB82-08 227.00 940.0733 940.073
1580165.363639 5098128.999998              CB82-08 228.00 939.7915 939.792
1580147.272723 5098146.000004              CB82-08 229.00 939.6604 939.66
1580129.181819 5098162.999999              CB82-08 230.00 939.5752 939.575
1580111.090904 5098180.000005              CB82-08 231.00 939.3849 939.385
1580093.000000 5098197.000000              CB82-08 232.00 938.9457 938.946
1580074.666666 5098214.416667              CB82-08 233.00 938.8411 938.841
1580056.333332 5098231.833334              CB82-08 234.00 938.5280 938.528
1580038.000000 5098249.250000              CB82-08 235.00 938.4082 938.408
1580019.666664 5098266.666669              CB82-08 236.00 938.5803 938.58
1580001.333336 5098284.083331              CB82-08 237.00 938.3084 938.308
1579983.000000 5098301.500000              CB82-08 238.00 937.9047 937.905
1579964.666671 5098318.916663              CB82-08 239.00 937.4662 937.466
1579946.333329 5098336.333337              CB82-08 240.00 937.0451 937.045
1579928.000000 5098353.750000              CB82-08 241.00 936.7535 936.753
1579909.666671 5098371.166663              CB82-08 242.00 936.5058 936.506
1579891.333329 5098388.583337              CB82-08 243.00 936.4034 936.403
1579873.000000 5098406.000000              CB82-08 244.00 936.3918 936.392
1579855.000000 5098423.214286              CB82-08 245.00 936.3038 936.304
1579836.999999 5098440.428572              CB82-08 246.00 936.0469 936.047
1579818.999998 5098457.642859              CB82-08 247.00 935.7986 935.799
1579800.999999 5098474.857144              CB82-08 248.00 935.7518 935.752
1579783.000000 5098492.071429              CB82-08 249.00 935.5540 935.554
1579764.999995 5098509.285719              CB82-08 250.00 935.4471 935.447
1579746.999996 5098526.500004              CB82-08 251.00 935.3239 935.324
1579728.999997 5098543.714288              CB82-08 252.00 935.1693 935.169
1579710.999998 5098560.928573              CB82-08 253.00 934.5718 934.572
1579692.999999 5098578.142858              CB82-08 254.00 934.3315 934.331
1579674.999989 5098595.357153              CB82-08 255.00 934.0905 934.09
1579656.999990 5098612.571438              CB82-08 256.00 934.0676 934.068
1579638.999991 5098629.785722              CB82-08 257.00 933.6834 933.683
1579620.999992 5098647.000007              CB82-08 258.00 933.2320 933.232
1579602.999994 5098664.214292              CB82-08 259.00 932.7317 932.732
1579584.999995 5098681.428577              CB82-08 260.00 932.1356 932.136
1579566.999996 5098698.642861              CB82-08 261.00 931.3455 931.346
1579548.999997 5098715.857146              CB82-08 262.00 930.5676 930.568
1579530.999998 5098733.071431              CB82-08 263.00 929.9472 929.947
1579512.999999 5098750.285715              CB82-08 264.00 929.6351 929.635
1579495.000000 5098767.500000              CB82-08 265.00 929.2443 929.244
1579476.999979 5098784.714306              CB82-08 266.00 928.8853 928.885
1579459.000002 5098801.928569              CB82-08 267.00 928.4367 928.437
1579440.999981 5098819.142876              CB82-08 268.00 927.9470 927.947
1579423.000004 5098836.357139              CB82-08 269.00 927.6086 927.609
1579404.999983 5098853.571445              CB82-08 270.00 927.1179 927.118
1579387.000006 5098870.785708              CB82-08 271.00 927.4353 927.435
1579368.999985 5098888.000014              CB82-08 272.00 927.6166 927.617
1579351.000009 5098905.214278              CB82-08 273.00 927.4222 927.422
1579332.999987 5098922.428584              CB82-08 274.00 927.4377 927.438
1579315.000011 5098939.642847              CB82-08 275.00 927.0865 927.087
1579296.999989 5098956.857153              CB82-08 276.00 926.5505 926.551
1579279.000013 5098974.071416              CB82-08 277.00 925.9705 925.97
1579260.999991 5098991.285722              CB82-08 278.00 925.4604 925.46
1579243.000015 5099008.499986              CB82-08 279.00 925.0959 925.096
1579224.999994 5099025.714292              CB82-08 280.00 924.5001 924.5
1579207.000017 5099042.928555              CB82-08 281.00 924.1453 924.145
1579188.999996 5099060.142861              CB82-08 282.00 923.9011 923.901
1579171.000019 5099077.357124              CB82-08 283.00 923.7616 923.762
1579152.999998 5099094.571431              CB82-08 284.00 922.7435 922.744
1579135.000021 5099111.785694              CB82-08 285.00 922.1071 922.107
1579117.000000 5099129.000000              CB82-08 286.00 921.7335 921.733
1579099.000000 5099146.347826              CB82-08 287.00 920.9306 920.931
1579080.999999 5099163.695653              CB82-08 288.00 920.4824 920.482
1579063.000001 5099181.043478              CB82-08 289.00 919.8359 919.836
1579044.999999 5099198.391306              CB82-08 290.00 918.6651 918.665
1579027.000003 5099215.739128              CB82-08 291.00 918.0085 918.009
1579009.000001 5099233.086955              CB82-08 292.00 917.4549 917.455
1578991.000005 5099250.434777              CB82-08 293.00 916.9849 916.985
1578972.999997 5099267.782611              CB82-08 294.00 916.5765 916.576
1578955.000002 5099285.130433              CB82-08 295.00 916.3049 916.305
1578937.000006 5099302.478255              CB82-08 296.00 916.3342 916.334
1578918.999998 5099319.826089              CB82-08 297.00 916.0089 916.009
1578901.000002 5099337.173911              CB82-08 298.00 915.4332 915.433
1578883.000006 5099354.521733              CB82-08 299.00 914.9367 914.937
1578865.000011 5099371.869555              CB82-08 300.00 914.6606 914.661
1578846.999990 5099389.217401              CB82-08 301.00 914.5525 914.552
1578828.999995 5099406.565223              CB82-08 302.00 914.6119 914.612
1578810.999999 5099423.913045              CB82-08 303.00 914.7322 914.732
1578793.000003 5099441.260866              CB82-08 304.00 914.4974 914.497
1578775.000008 5099458.608688              CB82-08 305.00 914.1663 914.166
1578757.000012 5099475.956510              CB82-08 306.00 913.8173 913.817
1578738.999991 5099493.304356              CB82-08 307.00 913.1011 913.101
1578720.999996 5099510.652178              CB82-08 308.00 912.5242 912.524
1578703.000000 5099528.000000              CB82-08 309.00 911.6619 911.662
1578685.270270 5099545.378379              CB82-08 310.00 910.8117 910.812
1578667.540540 5099562.756758              CB82-08 311.00 910.5257 910.526
1578649.810813 5099580.135133              CB82-08 312.00 910.2756 910.276
1578632.081079 5099597.513515              CB82-08 313.00 909.6937 909.694
1578614.351355 5099614.891888              CB82-08 314.00 908.9864 908.986
1578596.621626 5099632.270266              CB82-08 315.00 908.1564 908.156
1578578.891888 5099649.648653              CB82-08 316.00 907.6030 907.603
1578561.162159 5099667.027030              CB82-08 317.00 907.0560 907.056
1578543.432430 5099684.405408              CB82-08 318.00 906.5043 906.504
1578525.702711 5099701.783776              CB82-08 319.00 905.6891 905.689
1578507.972972 5099719.162163              CB82-08 320.00 904.9114 904.911
1578490.243253 5099736.540531              CB82-08 321.00 904.0389 904.039
1578472.513514 5099753.918918              CB82-08 322.00 903.5198 903.52
1578454.783775 5099771.297306              CB82-08 323.00 902.8517 902.852
1578437.054056 5099788.675674              CB82-08 324.00 901.8719 901.872
1578419.324317 5099806.054061              CB82-08 325.00 900.7866 900.787
1578401.594598 5099823.432429              CB82-08 326.00 899.2641 899.264
1578383.864860 5099840.810816              CB82-08 327.00 898.3554 898.355
1578366.135140 5099858.189184              CB82-08 328.00 897.4360 897.436
1578348.405421 5099875.567552              CB82-08 329.00 896.6254 896.625
1578330.675663 5099892.945958              CB82-08 330.00 895.2099 895.21
1578312.945944 5099910.324326              CB82-08 331.00 895.2099 895.21
1578295.216225 5099927.702694              CB82-08 332.00 894.8505 894.85
1578277.486506 5099945.081062              CB82-08 333.00 894.6143 894.614
1578259.756747 5099962.459469              CB82-08 334.00 893.9123 893.912
1578242.027028 5099979.837837              CB82-08 335.00 893.2297 893.23
1578224.297309 5099997.216205              CB82-08 336.00 892.1902 892.19
1578206.567551 5100014.594611              CB82-08 337.00 891.9063 891.906
1578188.837831 5100031.972979              CB82-08 338.00 891.3348 891.335
1578171.108112 5100049.351347              CB82-08 339.00 890.8698 890.87
1578153.378393 5100066.729715              CB82-08 340.00 890.2194 890.219
1578135.648635 5100084.108122              CB82-08 341.00 889.3503 889.35
1578117.918916 5100101.486490              CB82-08 342.00 888.7792 888.779
1578100.189197 5100118.864858              CB82-08 343.00 888.4834 888.483
1578082.459477 5100136.243226              CB82-08 344.00 888.0250 888.025
1578064.729719 5100153.621632              CB82-08 345.00 887.5601 887.56
1578047.000000 5100171.000000              CB82-08 346.00 887.2818 887.282
1578029.176471 5100188.764706              CB82-08 347.00 886.8000 886.8
1578011.352941 5100206.529412              CB82-08 348.00 886.6976 886.698
1577993.529410 5100224.294119              CB82-08 349.00 886.4900 886.49
1577975.705882 5100242.058824              CB82-08 350.00 885.8489 885.849
1577957.882349 5100259.823533              CB82-08 351.00 884.8021 884.802
1577940.058821 5100277.588238              CB82-08 352.00 883.9434 883.943
1577922.235293 5100295.352943              CB82-08 353.00 883.4562 883.456
1577904.411764 5100313.117648              CB82-08 354.00 882.8686 882.869
1577886.588227 5100330.882361              CB82-08 355.00 882.2390 882.239
1577868.764698 5100348.647066              CB82-08 356.00 881.4312 881.431
