1581585.027006 5096755.891912              CB82-08 149.00 127.5644 127.564
1581567.090080 5096773.306316              CB82-08 150.00 127.5026 127.503
1581549.153154 5096790.720720              CB82-08 151.00 128.0219 128.022
1581531.216227 5096808.135124              CB82-08 152.00 127.7074 127.707
1581513.279301 5096825.549528              CB82-08 153.00 127.7913 127.791
1581495.342316 5096842.963990              CB82-08 154.00 127.6106 127.611
1581477.405389 5096860.378394              CB82-08 155.00 127.9222 127.922
1581459.468463 5096877.792798              CB82-08 156.00 127.6025 127.603
1581441.531537 5096895.207202              CB82-08 157.00 126.8933 126.893
1581423.594611 5096912.621606              CB82-08 158.00 126.5710 126.571
1581405.657684 5096930.036010              CB82-08 159.00 126.7188 126.719
1581387.720758 5096947.450414              CB82-08 160.00 125.9100 125.91
1581369.783832 5096964.864818              CB82-08 161.00 126.1889 126.189
1581351.846906 5096982.279222              CB82-08 162.00 126.1796 126.18
1581333.909861 5096999.693741              CB82-08 163.00 126.3274 126.327
1581315.972934 5097017.108145              CB82-08 164.00 125.7698 125.77
1581298.036008 5097034.522550              CB82-08 165.00 125.7559 125.756
1581280.099082 5097051.936954              CB82-08 166.00 126.0621 126.062
1581262.162156 5097069.351358              CB82-08 167.00 126.5485 126.549
1581244.225230 5097086.765762              CB82-08 168.00 126.8003 126.8
1581226.288303 5097104.180166              CB82-08 169.00 127.0452 127.045
1581208.351377 5097121.594570              CB82-08 170.00 126.9734 126.973
1581190.414451 5097139.008974              CB82-08 171.00 127.5714 127.571
1581172.477525 5097156.423378              CB82-08 172.00 127.5108 127.511
1581154.540598 5097173.837782              CB82-08 173.00 127.2499 127.25
1581136.603553 5097191.252301              CB82-08 174.00 126.5570 126.557
1581118.666627 5097208.666705              CB82-08 175.00 126.3348 126.335
1581100.729701 5097226.081109              CB82-08 176.00 126.3274 126.327
1581082.792775 5097243.495513              CB82-08 177.00 126.1347 126.135
1581064.855848 5097260.909917              CB82-08 178.00 126.0298 126.03
1581046.918922 5097278.324321              CB82-08 179.00 125.6206 125.621
1581028.981996 5097295.738725              CB82-08 180.00 125.4786 125.479
1581011.045070 5097313.153129              CB82-08 181.00 124.9006 124.901
1580993.108143 5097330.567533              CB82-08 182.00 124.5619 124.562
1580975.171217 5097347.981937              CB82-08 183.00 124.4675 124.468
1580957.234291 5097365.396341              CB82-08 184.00 124.6270 124.627
1580939.297246 5097382.810861              CB82-08 185.00 124.8315 124.832
1580921.360320 5097400.225265              CB82-08 186.00 124.6270 124.627
1580903.423393 5097417.639669              CB82-08 187.00 124.8873 124.887
1580885.486467 5097435.054073              CB82-08 188.00 125.3168 125.317
1580867.549541 5097452.468477              CB82-08 189.00 125.6628 125.663
1580849.612615 5097469.882881              CB82-08 190.00 125.5969 125.597
1580831.675689 5097487.297285              CB82-08 191.00 125.5055 125.506
1580813.738762 5097504.711689              CB82-08 192.00 125.5781 125.578
1580795.801836 5097522.126093              CB82-08 193.00 125.5055 125.506
1580777.864910 5097539.540497              CB82-08 194.00 125.7302 125.73
1580759.927984 5097556.954901              CB82-08 195.00 125.3707 125.371
1580741.990939 5097574.369420              CB82-08 196.00 125.0113 125.011
1580724.054012 5097591.783824              CB82-08 197.00 124.5619 124.562
1580706.117086 5097609.198228              CB82-08 198.00 124.6439 124.644
1580688.180160 5097626.612632              CB82-08 199.00 124.6729 124.673
1580670.243234 5097644.027036              CB82-08 200.00 124.1516 124.152
1580652.306307 5097661.441440              CB82-08 201.00 123.7755 123.776
1580634.369381 5097678.855844              CB82-08 202.00 123.4610 123.461
1580616.432455 5097696.270248              CB82-08 203.00 122.8462 122.846
1580598.495529 5097713.684653              CB82-08 204.00 122.8733 122.873
1580580.558602 5097731.099057              CB82-08 205.00 122.5030 122.503
1580562.621676 5097748.513461              CB82-08 206.00 122.3464 122.346
1580544.684631 5097765.927980              CB82-08 207.00 122.6746 122.675
1580526.747705 5097783.342384              CB82-08 208.00 122.3600 122.36
1580508.810779 5097800.756788              CB82-08 209.00 122.6746 122.675
1580490.873852 5097818.171192              CB82-08 210.00 123.1464 123.146
1580472.936926 5097835.585596              CB82-08 211.00 122.8966 122.897
1580455.000000 5097853.000000              CB82-08 212.00 122.5294 122.529
1580436.888889 5097870.444445              CB82-08 213.00 123.5134 123.513
1580418.777778 5097887.888889              CB82-08 214.00 123.1187 123.119
1580400.666665 5097905.333335              CB82-08 215.00 123.0520 123.052
1580382.555555 5097922.777778              CB82-08 216.00 123.8070 123.807
1580364.444440 5097940.222226              CB82-08 217.00 123.6182 123.618
1580346.333330 5097957.666670              CB82-08 218.00 123.9762 123.976
1580328.222220 5097975.111113              CB82-08 219.00 124.2759 124.276
1580310.111110 5097992.555557              CB82-08 220.00 124.6729 124.673
1580292.000000 5098010.000000              CB82-08 221.00 125.6235 125.623
1580273.909090 5098027.000001              CB82-08 222.00 125.5658 125.566
1580255.818181 5098044.000001              CB82-08 223.00 125.6628 125.663
1580237.727271 5098061.000002              CB82-08 224.00 125.9100 125.91
1580219.636361 5098078.000002              CB82-08 225.00 126.0476 126.048
1580201.545452 5098095.000003              CB82-08 226.00 126.2736 126.274
1580183.454542 5098112.000003              CB82-08 227.00 126.7552 126.755
1580165.363639 5098128.999998              CB82-08 228.00 127.4198 127.42
1580147.272723 5098146.000004              CB82-08 229.00 128.0669 128.067
1580129.181819 5098162.999999              CB82-08 230.00 127.6106 127.611
1580111.090904 5098180.000005              CB82-08 231.00 126.7637 126.764
1580093.000000 5098197.000000              CB82-08 232.00 125.5684 125.568
1580074.666666 5098214.416667              CB82-08 233.00 125.2878 125.288
1580056.333332 5098231.833334              CB82-08 234.00 125.6235 125.623
1580038.000000 5098249.250000              CB82-08 235.00 126.1472 126.147
1580019.666664 5098266.666669              CB82-08 236.00 127.1000 127.1
1580001.333336 5098284.083331              CB82-08 237.00 126.5636 126.564
1579983.000000 5098301.500000              CB82-08 238.00 126.0620 126.062
1579964.666671 5098318.916663              CB82-08 239.00 126.2556 126.256
1579946.333329 5098336.333337              CB82-08 240.00 126.3499 126.35
1579928.000000 5098353.750000              CB82-08 241.00 127.0580 127.058
1579909.666671 5098371.166663              CB82-08 242.00 126.7637 126.764
1579891.333329 5098388.583337              CB82-08 243.00 126.8087 126.809
1579873.000000 5098406.000000              CB82-08 244.00 126.7008 126.701
1579855.000000 5098423.214286              CB82-08 245.00 126.5944 126.594
1579836.999999 5098440.428572              CB82-08 246.00 126.5840 126.584
1579818.999998 5098457.642859              CB82-08 247.00 126.3499 126.35
1579800.999999 5098474.857144              CB82-08 248.00 126.0809 126.081
1579783.000000 5098492.071429              CB82-08 249.00 126.2604 126.26
1579764.999995 5098509.285719              CB82-08 250.00 126.2204 126.22
1579746.999996 5098526.500004              CB82-08 251.00 125.5286 125.529
1579728.999997 5098543.714288              CB82-08 252.00 125.2572 125.257
1579710.999998 5098560.928573              CB82-08 253.00 125.1550 125.155
1579692.999999 5098578.142858              CB82-08 254.00 124.8450 124.845
1579674.999989 5098595.357153              CB82-08 255.00 124.7000 124.7
1579656.999990 5098612.571438              CB82-08 256.00 124.6058 124.606
1579638.999991 5098629.785722              CB82-08 257.00 124.7149 124.715
1579620.999992 5098647.000007              CB82-08 258.00 124.1844 124.184
1579602.999994 5098664.214292              CB82-08 259.00 124.1329 124.133
1579584.999995 5098681.428577              CB82-08 260.00 124.2288 124.229
1579566.999996 5098698.642861              CB82-08 261.00 123.7231 123.723
1579548.999997 5098715.857146              CB82-08 262.00 123.4489 123.449
1579530.999998 5098733.071431              CB82-08 263.00 123.5134 123.513
1579512.999999 5098750.285715              CB82-08 264.00 123.4295 123.43
1579495.000000 5098767.500000              CB82-08 265.00 123.5134 123.513
1579476.999979 5098784.714306              CB82-08 266.00 123.4295 123.43
1579459.000002 5098801.928569              CB82-08 267.00 123.6560 123.656
1579440.999981 5098819.142876              CB82-08 268.00 123.7755 123.776
1579423.000004 5098836.357139              CB82-08 269.00 123.9086 123.909
1579404.999983 5098853.571445              CB82-08 270.00 124.2397 124.24
1579387.000006 5098870.785708              CB82-08 271.00 124.4167 124.417
1579368.999985 5098888.000014              CB82-08 272.00 124.0068 124.007
1579351.000009 5098905.214278              CB82-08 273.00 123.4517 123.452
1579332.999987 5098922.428584              CB82-08 274.00 122.9181 122.918
1579315.000011 5098939.642847              CB82-08 275.00 123.0940 123.094
1579296.999989 5098956.857153              CB82-08 276.00 122.3685 122.369
1579279.000013 5098974.071416              CB82-08 277.00 122.3063 122.306
1579260.999991 5098991.285722              CB82-08 278.00 122.8094 122.809
1579243.000015 5099008.499986              CB82-08 279.00 122.0455 122.045
1579224.999994 5099025.714292              CB82-08 280.00 121.6100 121.61
1579207.000017 5099042.928555              CB82-08 281.00 121.8657 121.866
1579188.999996 5099060.142861              CB82-08 282.00 121.8118 121.812
1579171.000019 5099077.357124              CB82-08 283.00 121.4164 121.416
1579152.999998 5099094.571431              CB82-08 284.00 121.6100 121.61
1579135.000021 5099111.785694              CB82-08 285.00 121.4826 121.483
1579117.000000 5099129.000000              CB82-08 286.00 121.4504 121.45
1579099.000000 5099146.347826              CB82-08 287.00 121.4164 121.416
1579080.999999 5099163.695653              CB82-08 288.00 121.3878 121.388
1579063.000001 5099181.043478              CB82-08 289.00 121.7864 121.786
1579044.999999 5099198.391306              CB82-08 290.00 122.0939 122.094
1579027.000003 5099215.739128              CB82-08 291.00 122.2665 122.267
1579009.000001 5099233.086955              CB82-08 292.00 122.2305 122.231
1578991.000005 5099250.434777              CB82-08 293.00 122.9891 122.989
1578972.999997 5099267.782611              CB82-08 294.00 122.4050 122.405
1578955.000002 5099285.130433              CB82-08 295.00 122.3950 122.395
1578937.000006 5099302.478255              CB82-08 296.00 122.6746 122.675
1578918.999998 5099319.826089              CB82-08 297.00 123.0520 123.052
1578901.000002 5099337.173911              CB82-08 298.00 123.0719 123.072
1578883.000006 5099354.521733              CB82-08 299.00 122.8047 122.805
1578865.000011 5099371.869555              CB82-08 300.00 123.4295 123.43
1578846.999990 5099389.217401              CB82-08 301.00 123.3609 123.361
1578828.999995 5099406.565223              CB82-08 302.00 123.7531 123.753
1578810.999999 5099423.913045              CB82-08 303.00 123.8070 123.807
1578793.000003 5099441.260866              CB82-08 304.00 124.2048 124.205
1578775.000008 5099458.608688              CB82-08 305.00 124.2288 124.229
1578757.000012 5099475.956510              CB82-08 306.00 124.4046 124.405
1578738.999991 5099493.304356              CB82-08 307.00 124.3103 124.31
1578720.999996 5099510.652178              CB82-08 308.00 124.4920 124.492
1578703.000000 5099528.000000              CB82-08 309.00 124.7335 124.733
1578685.270270 5099545.378379              CB82-08 310.00 124.3157 124.316
1578667.540540 5099562.756758              CB82-08 311.00 124.3903 124.39
1578649.810813 5099580.135133              CB82-08 312.00 124.4720 124.472
1578632.081079 5099597.513515              CB82-08 313.00 124.0901 124.09
1578614.351355 5099614.891888              CB82-08 314.00 123.7362 123.736
1578596.621626 5099632.270266              CB82-08 315.00 123.8879 123.888
1578578.891888 5099649.648653              CB82-08 316.00 123.3217 123.322
1578561.162159 5099667.027030              CB82-08 317.00 123.2297 123.23
1578543.432430 5099684.405408              CB82-08 318.00 123.0790 123.079
1578525.702711 5099701.783776              CB82-08 319.00 122.1027 122.103
1578507.972972 5099719.162163              CB82-08 320.00 122.0658 122.066
1578490.243253 5099736.540531              CB82-08 321.00 122.3842 122.384
1578472.513514 5099753.918918              CB82-08 322.00 122.5294 122.529
1578454.783775 5099771.297306              CB82-08 323.00 122.1713 122.171
1578437.054056 5099788.675674              CB82-08 324.00 122.0848 122.085
1578419.324317 5099806.054061              CB82-08 325.00 122.3726 122.373
1578401.594598 5099823.432429              CB82-08 326.00 122.3842 122.384
1578383.864860 5099840.810816              CB82-08 327.00 122.2702 122.27
1578366.135140 5099858.189184              CB82-08 328.00 122.3842 122.384
1578348.405421 5099875.567552              CB82-08 329.00 122.1713 122.171
1578330.675663 5099892.945958              CB82-08 330.00 122.1540 122.154
1578312.945944 5099910.324326              CB82-08 331.00 122.5348 122.535
1578295.216225 5099927.702694              CB82-08 332.00 122.9349 122.935
1578277.486506 5099945.081062              CB82-08 333.00 122.6746 122.675
1578259.756747 5099962.459469              CB82-08 334.00 122.6746 122.675
1578242.027028 5099979.837837              CB82-08 335.00 123.1060 123.106
1578224.297309 5099997.216205              CB82-08 336.00 122.8903 122.89
1578206.567551 5100014.594611              CB82-08 337.00 122.8094 122.809
1578188.837831 5100031.972979              CB82-08 338.00 122.3766 122.377
1578171.108112 5100049.351347              CB82-08 339.00 122.1354 122.135
1578153.378393 5100066.729715              CB82-08 340.00 122.1713 122.171
1578135.648635 5100084.108122              CB82-08 341.00 122.1713 122.171
1578117.918916 5100101.486490              CB82-08 342.00 121.9669 121.967
1578100.189197 5100118.864858              CB82-08 343.00 122.0455 122.045
1578082.459477 5100136.243226              CB82-08 344.00 121.8118 121.812
1578064.729719 5100153.621632              CB82-08 345.00 121.6100 121.61
1578047.000000 5100171.000000              CB82-08 346.00 121.9197 121.92
1578029.176471 5100188.764706              CB82-08 347.00 121.4826 121.483
1578011.352941 5100206.529412              CB82-08 348.00 121.5819 121.582
1577993.529410 5100224.294119              CB82-08 349.00 122.0939 122.094
1577975.705882 5100242.058824              CB82-08 350.00 121.7687 121.769
1577957.882349 5100259.823533              CB82-08 351.00 121.5787 121.579
1577940.058821 5100277.588238              CB82-08 352.00 121.1876 121.188
1577922.235293 5100295.352943              CB82-08 353.00 121.2464 121.246
1577904.411764 5100313.117648              CB82-08 354.00 120.7015 120.701
1577886.588227 5100330.882361              CB82-08 355.00 120.7453 120.745
1577868.764698 5100348.647066              CB82-08 356.00 120.8274 120.827
1577850.941170 5100366.411771              CB82-08 357.00 120.7453 120.745
1577833.117642 5100384.176476              CB82-08 358.00 120.8292 120.829
1577815.294113 5100401.941181              CB82-08 359.00 120.7412 120.741
1577797.470585 5100419.705886              CB82-08 360.00 120.6693 120.669
1577779.647057 5100437.470590              CB82-08 361.00 120.5652 120.565
1577761.823528 5100455.235295              CB82-08 362.00 120.6046 120.605
1577744.000000 5100473.000000              CB82-08 363.00 120.1913 120.191
1577726.384615 5100490.692308              CB82-08 364.00 120.1889 120.189
