1582087.261267 5096268.288282              CB82-08 121.00 1469.1979 1469.2
1582069.324311 5096285.702715              CB82-08 122.00 1468.9705 1468.97
1582051.387385 5096303.117119              CB82-08 123.00 1468.6967 1468.7
1582033.450459 5096320.531523              CB82-08 124.00 1468.2922 1468.29
1582015.513503 5096337.945956              CB82-08 125.00 1468.1003 1468.1
1581997.576577 5096355.360360              CB82-08 126.00 1467.8586 1467.86
1581979.639651 5096372.774764              CB82-08 127.00 1467.6366 1467.64
1581961.702695 5096390.189197              CB82-08 128.00 1467.2223 1467.22
1581943.765768 5096407.603601              CB82-08 129.00 1466.8431 1466.84
1581925.828842 5096425.018005              CB82-08 130.00 1466.5367 1466.54
1581907.891916 5096442.432409              CB82-08 131.00 1466.0841 1466.08
1581889.954930 5096459.846871              CB82-08 132.00 1465.7637 1465.76
1581872.018004 5096477.261275              CB82-08 133.00 1465.7363 1465.74
1581854.081078 5096494.675679              CB82-08 134.00 1465.5621 1465.56
1581836.144152 5096512.090083              CB82-08 135.00 1465.1519 1465.15
1581818.207225 5096529.504487              CB82-08 136.00 1464.8192 1464.82
1581800.270299 5096546.918891              CB82-08 137.00 1464.3782 1464.38
1581782.333314 5096564.333353              CB82-08 138.00 1463.9148 1463.91
1581764.396387 5096581.747757              CB82-08 139.00 1463.2324 1463.23
1581746.459461 5096599.162161              CB82-08 140.00 1462.5956 1462.6
1581728.522535 5096616.576565              CB82-08 141.00 1462.1810 1462.18
1581710.585609 5096633.990969              CB82-08 142.00 1462.1145 1462.11
1581692.648623 5096651.405430              CB82-08 143.00 1462.0835 1462.08
1581674.711697 5096668.819834              CB82-08 144.00 1461.8374 1461.84
1581656.774770 5096686.234238              CB82-08 145.00 1461.4927 1461.49
1581638.837844 5096703.648642              CB82-08 146.00 1461.4216 1461.42
1581620.900918 5096721.063046              CB82-08 147.00 1461.3517 1461.35
1581602.963992 5096738.477450              CB82-08 148.00 1461.0529 1461.05
1581585.027006 5096755.891912              CB82-08 149.00 1460.6658 1460.67
1581567.090080 5096773.306316              CB82-08 150.00 1460.6400 1460.64
1581549.153154 5096790.720720              CB82-08 151.00 1460.4669 1460.47
1581531.216227 5096808.135124              CB82-08 152.00 1460.3159 1460.32
1581513.279301 5096825.549528              CB82-08 153.00 1460.2295 1460.23
1581495.342316 5096842.963990              CB82-08 154.00 1460.0289 1460.03
1581477.405389 5096860.378394              CB82-08 155.00 1459.4337 1459.43
1581459.468463 5096877.792798              CB82-08 156.00 1458.9650 1458.96
1581441.531537 5096895.207202              CB82-08 157.00 1458.9100 1458.91
1581423.594611 5096912.621606              CB82-08 158.00 1459.1384 1459.14
1581405.657684 5096930.036010              CB82-08 159.00 1459.2278 1459.23
1581387.720758 5096947.450414              CB82-08 160.00 1459.2593 1459.26
1581369.783832 5096964.864818              CB82-08 161.00 1459.2778 1459.28
1581351.846906 5096982.279222              CB82-08 162.00 1459.1858 1459.19
1581333.909861 5096999.693741              CB82-08 163.00 1459.2709 1459.27
1581315.972934 5097017.108145              CB82-08 164.00 1459.2020 1459.2
1581298.036008 5097034.522550              CB82-08 165.00 1458.8549 1458.85
1581280.099082 5097051.936954              CB82-08 166.00 1458.5677 1458.57
1581262.162156 5097069.351358              CB82-08 167.00 1458.4854 1458.49
1581244.225230 5097086.765762              CB82-08 168.00 1458.4612 1458.46
1581226.288303 5097104.180166              CB82-08 169.00 1458.2594 1458.26
1581208.351377 5097121.594570              CB82-08 170.00 1458.0187 1458.02
1581190.414451 5097139.008974              CB82-08 171.00 1457.9451 1457.95
1581172.477525 5097156.423378              CB82-08 172.00 1457.9070 1457.91
1581154.540598 5097173.837782              CB82-08 173.00 1457.7850 1457.79
1581136.603553 5097191.252301              CB82-08 174.00 1457.9110 1457.91
1581118.666627 5097208.666705              CB82-08 175.00 1458.0715 1458.07
1581100.729701 5097226.081109              CB82-08 176.00 1458.2209 1458.22
1581082.792775 5097243.495513              CB82-08 177.00 1458.3038 1458.3
1581064.855848 5097260.909917              CB82-08 178.00 1458.3513 1458.35
1581046.918922 5097278.324321              CB82-08 179.00 1458.0936 1458.09
1581028.981996 5097295.738725              CB82-08 180.00 1457.6714 1457.67
1581011.045070 5097313.153129              CB82-08 181.00 1457.2853 1457.29
1580993.108143 5097330.567533              CB82-08 182.00 1457.0725 1457.07
1580975.171217 5097347.981937              CB82-08 183.00 1457.0883 1457.09
1580957.234291 5097365.396341              CB82-08 184.00 1456.8660 1456.87
1580939.297246 5097382.810861              CB82-08 185.00 1456.0814 1456.08
1580921.360320 5097400.225265              CB82-08 186.00 1455.8298 1455.83
1580903.423393 5097417.639669              CB82-08 187.00 1455.9655 1455.97
1580885.486467 5097435.054073              CB82-08 188.00 1455.9507 1455.95
1580867.549541 5097452.468477              CB82-08 189.00 1455.7185 1455.72
1580849.612615 5097469.882881              CB82-08 190.00 1455.3326 1455.33
1580831.675689 5097487.297285              CB82-08 191.00 1454.9604 1454.96
1580813.738762 5097504.711689              CB82-08 192.00 1454.6599 1454.66
1580795.801836 5097522.126093              CB82-08 193.00 1454.1514 1454.15
1580777.864910 5097539.540497              CB82-08 194.00 1453.5011 1453.5
1580759.927984 5097556.954901              CB82-08 195.00 1453.2916 1453.29
1580741.990939 5097574.369420              CB82-08 196.00 1452.8613 1452.86
1580724.054012 5097591.783824              CB82-08 197.00 1452.9020 1452.9
1580706.117086 5097609.198228              CB82-08 198.00 1452.6198 1452.62
1580688.180160 5097626.612632              CB82-08 199.00 1452.2319 1452.23
1580670.243234 5097644.027036              CB82-08 200.00 1452.3441 1452.34
1580652.306307 5097661.441440              CB82-08 201.00 1452.6520 1452.65
1580634.369381 5097678.855844              CB82-08 202.00 1452.2899 1452.29
1580616.432455 5097696.270248              CB82-08 203.00 1451.7760 1451.78
1580598.495529 5097713.684653              CB82-08 204.00 1451.4136 1451.41
1580580.558602 5097731.099057              CB82-08 205.00 1451.0068 1451.01
1580562.621676 5097748.513461              CB82-08 206.00 1450.9005 1450.9
1580544.684631 5097765.927980              CB82-08 207.00 1450.9987 1451
1580526.747705 5097783.342384              CB82-08 208.00 1451.1021 1451.1
1580508.810779 5097800.756788              CB82-08 209.00 1451.2328 1451.23
1580490.873852 5097818.171192              CB82-08 210.00 1451.0768 1451.08
1580472.936926 5097835.585596              CB82-08 211.00 1450.9033 1450.9
1580455.000000 5097853.000000              CB82-08 212.00 1450.7717 1450.77
1580436.888889 5097870.444445              CB82-08 213.00 1450.5436 1450.54
