1582051.387385 5096303.117119              CB82-08 123.00 1355.0544 1355.05
1582033.450459 5096320.531523              CB82-08 124.00 1354.6011 1354.6
1582015.513503 5096337.945956              CB82-08 125.00 1356.7363 1356.74
1581997.576577 5096355.360360              CB82-08 126.00 1356.8352 1356.84
1581979.639651 5096372.774764              CB82-08 127.00 1355.5869 1355.59
1581961.702695 5096390.189197              CB82-08 128.00 1357.0317 1357.03
1581943.765768 5096407.603601              CB82-08 129.00 1355.6328 1355.63
1581925.828842 5096425.018005              CB82-08 130.00 1356.0020 1356
1581907.891916 5096442.432409              CB82-08 131.00 1357.5724 1357.57
1581889.954930 5096459.846871              CB82-08 132.00 1356.0983 1356.1
1581872.018004 5096477.261275              CB82-08 133.00 1355.9298 1355.93
1581854.081078 5096494.675679              CB82-08 134.00 1355.7181 1355.72
1581836.144152 5096512.090083              CB82-08 135.00 1356.1514 1356.15
1581818.207225 5096529.504487              CB82-08 136.00 1357.0133 1357.01
1581800.270299 5096546.918891              CB82-08 137.00 1354.6128 1354.61
1581782.333314 5096564.333353              CB82-08 138.00 1352.5719 1352.57
1581764.396387 5096581.747757              CB82-08 139.00 1351.6498 1351.65
1581746.459461 5096599.162161              CB82-08 140.00 1351.1907 1351.19
1581728.522535 5096616.576565              CB82-08 141.00 1352.6807 1352.68
1581710.585609 5096633.990969              CB82-08 142.00 1351.8339 1351.83
1581692.648623 5096651.405430              CB82-08 143.00 1352.2452 1352.25
1581674.711697 5096668.819834              CB82-08 144.00 1352.0117 1352.01
1581656.774770 5096686.234238              CB82-08 145.00 1348.7793 1348.78
1581638.837844 5096703.648642              CB82-08 146.00 1348.0958 1348.1
1581620.900918 5096721.063046              CB82-08 147.00 1349.4811 1349.48
1581602.963992 5096738.477450              CB82-08 148.00 1349.9861 1349.99
1581585.027006 5096755.891912              CB82-08 149.00 1350.4207 1350.42
1581567.090080 5096773.306316              CB82-08 150.00 1349.7644 1349.76
1581549.153154 5096790.720720              CB82-08 151.00 1350.2286 1350.23
1581531.216227 5096808.135124              CB82-08 152.00 1348.9445 1348.94
1581513.279301 5096825.549528              CB82-08 153.00 1348.3440 1348.34
1581495.342316 5096842.963990              CB82-08 154.00 1347.4172 1347.42
1581477.405389 5096860.378394              CB82-08 155.00 1346.6477 1346.65
1581459.468463 5096877.792798              CB82-08 156.00 1345.7813 1345.78
1581441.531537 5096895.207202              CB82-08 157.00 1343.2131 1343.21
1581423.594611 5096912.621606              CB82-08 158.00 1342.7802 1342.78
1581405.657684 5096930.036010              CB82-08 159.00 1344.0020 1344
1581387.720758 5096947.450414              CB82-08 160.00 1344.5763 1344.58
1581369.783832 5096964.864818              CB82-08 161.00 1345.5869 1345.59
1581351.846906 5096982.279222              CB82-08 162.00 1346.2234 1346.22
1581333.909861 5096999.693741              CB82-08 163.00 1345.0157 1345.02
1581315.972934 5097017.108145              CB82-08 164.00 1345.6250 1345.63
1581298.036008 5097034.522550              CB82-08 165.00 1346.7289 1346.73
1581280.099082 5097051.936954              CB82-08 166.00 1344.2780 1344.28
1581262.162156 5097069.351358              CB82-08 167.00 1343.6044 1343.6
1581172.477525 5097156.423378              CB82-08 172.00 1341.3462 1341.35
1581154.540598 5097173.837782              CB82-08 173.00 1342.5463 1342.55
1581136.603553 5097191.252301              CB82-08 174.00 1342.1265 1342.13
1581118.666627 5097208.666705              CB82-08 175.00 1341.4229 1341.42
1581100.729701 5097226.081109              CB82-08 176.00 1341.2905 1341.29
1581082.792775 5097243.495513              CB82-08 177.00 1345.1149 1345.11
1581064.855848 5097260.909917              CB82-08 178.00 1348.2603 1348.26
1581046.918922 5097278.324321              CB82-08 179.00 1347.5294 1347.53
1581028.981996 5097295.738725              CB82-08 180.00 1344.2476 1344.25
1581011.045070 5097313.153129              CB82-08 181.00 1342.7031 1342.7
1580993.108143 5097330.567533              CB82-08 182.00 1341.0282 1341.03
1580975.171217 5097347.981937              CB82-08 183.00 1340.1392 1340.14
1580957.234291 5097365.396341              CB82-08 184.00 1340.5637 1340.56
