1582069.324311 5096285.702715              CB82-08 122.00 1653.5603 1653.56
1582051.387385 5096303.117119              CB82-08 123.00 1652.7617 1652.76
1582033.450459 5096320.531523              CB82-08 124.00 1652.6722 1652.67
1582015.513503 5096337.945956              CB82-08 125.00 1652.8691 1652.87
1581997.576577 5096355.360360              CB82-08 126.00 1653.1315 1653.13
1581979.639651 5096372.774764              CB82-08 127.00 1653.3197 1653.32
1581961.702695 5096390.189197              CB82-08 128.00 1653.3575 1653.36
1581943.765768 5096407.603601              CB82-08 129.00 1654.3383 1654.34
1581925.828842 5096425.018005              CB82-08 130.00 1654.7637 1654.76
1581907.891916 5096442.432409              CB82-08 131.00 1654.1715 1654.17
1581889.954930 5096459.846871              CB82-08 132.00 1654.1495 1654.15
1581872.018004 5096477.261275              CB82-08 133.00 1654.4183 1654.42
1581854.081078 5096494.675679              CB82-08 134.00 1655.4869 1655.49
1581638.837844 5096703.648642              CB82-08 146.00 1641.0966 1641.1
1581620.900918 5096721.063046              CB82-08 147.00 1640.3115 1640.31
1581602.963992 5096738.477450              CB82-08 148.00 1641.5115 1641.51
1581531.216227 5096808.135124              CB82-08 152.00 1649.4067 1649.41
1581513.279301 5096825.549528              CB82-08 153.00 1645.7227 1645.72
1581495.342316 5096842.963990              CB82-08 154.00 1645.6721 1645.67
1581477.405389 5096860.378394              CB82-08 155.00 1646.5272 1646.53
1581459.468463 5096877.792798              CB82-08 156.00 1646.0596 1646.06
1581441.531537 5096895.207202              CB82-08 157.00 1644.8463 1644.85
1581423.594611 5096912.621606              CB82-08 158.00 1642.9297 1642.93
1581405.657684 5096930.036010              CB82-08 159.00 1641.5045 1641.5
1581387.720758 5096947.450414              CB82-08 160.00 1640.6404 1640.64
1581369.783832 5096964.864818              CB82-08 161.00 1640.3192 1640.32
1581351.846906 5096982.279222              CB82-08 162.00 1640.6431 1640.64
1581333.909861 5096999.693741              CB82-08 163.00 1640.2628 1640.26
1581315.972934 5097017.108145              CB82-08 164.00 1639.0175 1639.02
1581298.036008 5097034.522550              CB82-08 165.00 1638.9347 1638.93
1581280.099082 5097051.936954              CB82-08 166.00 1638.7593 1638.76
1581262.162156 5097069.351358              CB82-08 167.00 1639.1879 1639.19
1581244.225230 5097086.765762              CB82-08 168.00 1638.8125 1638.81
1581226.288303 5097104.180166              CB82-08 169.00 1638.1364 1638.14
1581208.351377 5097121.594570              CB82-08 170.00 1638.0551 1638.06
1581190.414451 5097139.008974              CB82-08 171.00 1638.0387 1638.04
1581172.477525 5097156.423378              CB82-08 172.00 1638.6301 1638.63
1581100.729701 5097226.081109              CB82-08 176.00 1638.2725 1638.27
1581082.792775 5097243.495513              CB82-08 177.00 1636.9194 1636.92
1581064.855848 5097260.909917              CB82-08 178.00 1635.8761 1635.88
1581046.918922 5097278.324321              CB82-08 179.00 1634.3358 1634.34
1581028.981996 5097295.738725              CB82-08 180.00 1633.5968 1633.6
