1581459.468463 5096877.792798              CB82-08 156.00 1379.3317 1379.33
1581441.531537 5096895.207202              CB82-08 157.00 1379.7144 1379.71
1581423.594611 5096912.621606              CB82-08 158.00 1378.7095 1378.71
1581405.657684 5096930.036010              CB82-08 159.00 1378.3025 1378.3
1581387.720758 5096947.450414              CB82-08 160.00 1378.6504 1378.65
1581369.783832 5096964.864818              CB82-08 161.00 1378.8953 1378.9
1581351.846906 5096982.279222              CB82-08 162.00 1378.5762 1378.58
1581333.909861 5096999.693741              CB82-08 163.00 1378.8054 1378.81
1581315.972934 5097017.108145              CB82-08 164.00 1378.1392 1378.14
1581298.036008 5097034.522550              CB82-08 165.00 1377.7490 1377.75
1581280.099082 5097051.936954              CB82-08 166.00 1378.1472 1378.15
1581262.162156 5097069.351358              CB82-08 167.00 1378.0266 1378.03
1581244.225230 5097086.765762              CB82-08 168.00 1378.4617 1378.46
1581226.288303 5097104.180166              CB82-08 169.00 1378.4478 1378.45
1581208.351377 5097121.594570              CB82-08 170.00 1377.6567 1377.66
1581190.414451 5097139.008974              CB82-08 171.00 1377.9617 1377.96
1581172.477525 5097156.423378              CB82-08 172.00 1377.5594 1377.56
1581154.540598 5097173.837782              CB82-08 173.00 1377.2179 1377.22
1581136.603553 5097191.252301              CB82-08 174.00 1377.1626 1377.16
1581118.666627 5097208.666705              CB82-08 175.00 1377.2688 1377.27
1581100.729701 5097226.081109              CB82-08 176.00 1376.9446 1376.94
1581082.792775 5097243.495513              CB82-08 177.00 1376.6936 1376.69
1581064.855848 5097260.909917              CB82-08 178.00 1376.5801 1376.58
1581046.918922 5097278.324321              CB82-08 179.00 1376.4332 1376.43
1581028.981996 5097295.738725              CB82-08 180.00 1375.9719 1375.97
1581011.045070 5097313.153129              CB82-08 181.00 1376.0446 1376.04
1580993.108143 5097330.567533              CB82-08 182.00 1376.0991 1376.1
1580975.171217 5097347.981937              CB82-08 183.00 1375.6482 1375.65
1580957.234291 5097365.396341              CB82-08 184.00 1375.2991 1375.3
1580939.297246 5097382.810861              CB82-08 185.00 1375.1990 1375.2
1580921.360320 5097400.225265              CB82-08 186.00 1375.0055 1375.01
1580903.423393 5097417.639669              CB82-08 187.00 1374.7267 1374.73
1580885.486467 5097435.054073              CB82-08 188.00 1374.6694 1374.67
1580867.549541 5097452.468477              CB82-08 189.00 1374.1301 1374.13
1580849.612615 5097469.882881              CB82-08 190.00 1374.0084 1374.01
1580831.675689 5097487.297285              CB82-08 191.00 1373.5024 1373.5
1580813.738762 5097504.711689              CB82-08 192.00 1373.9702 1373.97
1580795.801836 5097522.126093              CB82-08 193.00 1374.1865 1374.19
1580777.864910 5097539.540497              CB82-08 194.00 1374.2997 1374.3
1580759.927984 5097556.954901              CB82-08 195.00 1374.1581 1374.16
1580741.990939 5097574.369420              CB82-08 196.00 1373.9751 1373.98
1580724.054012 5097591.783824              CB82-08 197.00 1374.0366 1374.04
1580706.117086 5097609.198228              CB82-08 198.00 1373.7452 1373.75
1580688.180160 5097626.612632              CB82-08 199.00 1373.3521 1373.35
1580670.243234 5097644.027036              CB82-08 200.00 1373.0908 1373.09
1580652.306307 5097661.441440              CB82-08 201.00 1373.8934 1373.89
1580634.369381 5097678.855844              CB82-08 202.00 1374.2905 1374.29
1580616.432455 5097696.270248              CB82-08 203.00 1373.3021 1373.3
1580598.495529 5097713.684653              CB82-08 204.00 1373.3838 1373.38
1580580.558602 5097731.099057              CB82-08 205.00 1373.5062 1373.51
1580562.621676 5097748.513461              CB82-08 206.00 1373.0372 1373.04
1580544.684631 5097765.927980              CB82-08 207.00 1373.1486 1373.15
1580526.747705 5097783.342384              CB82-08 208.00 1373.1038 1373.1
1580508.810779 5097800.756788              CB82-08 209.00 1372.8929 1372.89
1580490.873852 5097818.171192              CB82-08 210.00 1372.4139 1372.41
1580472.936926 5097835.585596              CB82-08 211.00 1372.7888 1372.79
1580455.000000 5097853.000000              CB82-08 212.00 1372.8918 1372.89
1580436.888889 5097870.444445              CB82-08 213.00 1373.2899 1373.29
1580418.777778 5097887.888889              CB82-08 214.00 1372.3058 1372.31
1580400.666665 5097905.333335              CB82-08 215.00 1372.8132 1372.81
