1582105.198194 5096250.873878              CB82-08 120.00 1497.4324 1497.43
1582087.261267 5096268.288282              CB82-08 121.00 1498.3416 1498.34
1582069.324311 5096285.702715              CB82-08 122.00 1499.1801 1499.18
1582051.387385 5096303.117119              CB82-08 123.00 1499.0697 1499.07
1582033.450459 5096320.531523              CB82-08 124.00 1498.6350 1498.64
1582015.513503 5096337.945956              CB82-08 125.00 1498.5283 1498.53
1581997.576577 5096355.360360              CB82-08 126.00 1498.4630 1498.46
1581979.639651 5096372.774764              CB82-08 127.00 1498.2064 1498.21
1581961.702695 5096390.189197              CB82-08 128.00 1497.7892 1497.79
1581943.765768 5096407.603601              CB82-08 129.00 1496.9795 1496.98
1581925.828842 5096425.018005              CB82-08 130.00 1496.1149 1496.11
1581907.891916 5096442.432409              CB82-08 131.00 1495.7173 1495.72
1581889.954930 5096459.846871              CB82-08 132.00 1495.5548 1495.55
1581872.018004 5096477.261275              CB82-08 133.00 1495.3251 1495.33
1581854.081078 5096494.675679              CB82-08 134.00 1494.9841 1494.98
1581836.144152 5096512.090083              CB82-08 135.00 1494.5293 1494.53
1581818.207225 5096529.504487              CB82-08 136.00 1493.6559 1493.66
1581800.270299 5096546.918891              CB82-08 137.00 1492.9082 1492.91
1581782.333314 5096564.333353              CB82-08 138.00 1492.5261 1492.53
1581764.396387 5096581.747757              CB82-08 139.00 1492.1672 1492.17
1581746.459461 5096599.162161              CB82-08 140.00 1491.7529 1491.75
1581728.522535 5096616.576565              CB82-08 141.00 1491.4764 1491.48
1581710.585609 5096633.990969              CB82-08 142.00 1491.5377 1491.54
1581692.648623 5096651.405430              CB82-08 143.00 1491.6650 1491.67
1581674.711697 5096668.819834              CB82-08 144.00 1491.9348 1491.93
1581656.774770 5096686.234238              CB82-08 145.00 1492.5022 1492.5
1581638.837844 5096703.648642              CB82-08 146.00 1492.9432 1492.94
1581620.900918 5096721.063046              CB82-08 147.00 1493.1360 1493.14
1581602.963992 5096738.477450              CB82-08 148.00 1492.9762 1492.98
1581585.027006 5096755.891912              CB82-08 149.00 1492.4264 1492.43
1581567.090080 5096773.306316              CB82-08 150.00 1491.5500 1491.55
1581549.153154 5096790.720720              CB82-08 151.00 1491.1962 1491.2
1581531.216227 5096808.135124              CB82-08 152.00 1491.3773 1491.38
1581513.279301 5096825.549528              CB82-08 153.00 1491.3545 1491.35
1581495.342316 5096842.963990              CB82-08 154.00 1490.9525 1490.95
1581477.405389 5096860.378394              CB82-08 155.00 1490.6433 1490.64
1581459.468463 5096877.792798              CB82-08 156.00 1490.1840 1490.18
1581441.531537 5096895.207202              CB82-08 157.00 1489.7893 1489.79
1581423.594611 5096912.621606              CB82-08 158.00 1489.9803 1489.98
1581405.657684 5096930.036010              CB82-08 159.00 1490.2227 1490.22
1581387.720758 5096947.450414              CB82-08 160.00 1490.0906 1490.09
1581369.783832 5096964.864818              CB82-08 161.00 1489.4857 1489.49
1581351.846906 5096982.279222              CB82-08 162.00 1488.7529 1488.75
1581333.909861 5096999.693741              CB82-08 163.00 1488.6307 1488.63
1581315.972934 5097017.108145              CB82-08 164.00 1488.8049 1488.8
1581298.036008 5097034.522550              CB82-08 165.00 1488.8240 1488.82
1581280.099082 5097051.936954              CB82-08 166.00 1488.5569 1488.56
1581262.162156 5097069.351358              CB82-08 167.00 1488.0399 1488.04
1581244.225230 5097086.765762              CB82-08 168.00 1487.8368 1487.84
1581226.288303 5097104.180166              CB82-08 169.00 1487.6475 1487.65
1581208.351377 5097121.594570              CB82-08 170.00 1487.5050 1487.51
1581190.414451 5097139.008974              CB82-08 171.00 1487.3523 1487.35
1581172.477525 5097156.423378              CB82-08 172.00 1487.2922 1487.29
1581154.540598 5097173.837782              CB82-08 173.00 1487.2450 1487.24
1581136.603553 5097191.252301              CB82-08 174.00 1487.5388 1487.54
1581118.666627 5097208.666705              CB82-08 175.00 1487.7253 1487.73
1581100.729701 5097226.081109              CB82-08 176.00 1487.7136 1487.71
1581082.792775 5097243.495513              CB82-08 177.00 1487.8154 1487.82
1581064.855848 5097260.909917              CB82-08 178.00 1487.7140 1487.71
1581046.918922 5097278.324321              CB82-08 179.00 1487.3445 1487.34
1581028.981996 5097295.738725              CB82-08 180.00 1486.9473 1486.95
1581011.045070 5097313.153129              CB82-08 181.00 1486.5392 1486.54
1580993.108143 5097330.567533              CB82-08 182.00 1486.1433 1486.14
1580975.171217 5097347.981937              CB82-08 183.00 1485.6774 1485.68
1580957.234291 5097365.396341              CB82-08 184.00 1485.3655 1485.37
1580939.297246 5097382.810861              CB82-08 185.00 1484.8127 1484.81
1580921.360320 5097400.225265              CB82-08 186.00 1484.4668 1484.47
1580903.423393 5097417.639669              CB82-08 187.00 1484.2397 1484.24
1580885.486467 5097435.054073              CB82-08 188.00 1483.9856 1483.99
1580867.549541 5097452.468477              CB82-08 189.00 1483.2865 1483.29
1580849.612615 5097469.882881              CB82-08 190.00 1482.6783 1482.68
1580831.675689 5097487.297285              CB82-08 191.00 1482.3998 1482.4
1580813.738762 5097504.711689              CB82-08 192.00 1482.4032 1482.4
1580795.801836 5097522.126093              CB82-08 193.00 1482.3441 1482.34
1580777.864910 5097539.540497              CB82-08 194.00 1482.0934 1482.09
1580759.927984 5097556.954901              CB82-08 195.00 1481.8773 1481.88
1580741.990939 5097574.369420              CB82-08 196.00 1481.4524 1481.45
1580724.054012 5097591.783824              CB82-08 197.00 1481.3398 1481.34
1580706.117086 5097609.198228              CB82-08 198.00 1481.2577 1481.26
1580688.180160 5097626.612632              CB82-08 199.00 1481.1660 1481.17
1580670.243234 5097644.027036              CB82-08 200.00 1481.0681 1481.07
1580652.306307 5097661.441440              CB82-08 201.00 1480.9084 1480.91
1580634.369381 5097678.855844              CB82-08 202.00 1480.6608 1480.66
1580616.432455 5097696.270248              CB82-08 203.00 1480.0883 1480.09
1580598.495529 5097713.684653              CB82-08 204.00 1479.5732 1479.57
1580580.558602 5097731.099057              CB82-08 205.00 1479.1853 1479.19
1580562.621676 5097748.513461              CB82-08 206.00 1478.9707 1478.97
1580544.684631 5097765.927980              CB82-08 207.00 1479.0082 1479.01
1580526.747705 5097783.342384              CB82-08 208.00 1478.6621 1478.66
1580508.810779 5097800.756788              CB82-08 209.00 1478.3634 1478.36
1580490.873852 5097818.171192              CB82-08 210.00 1478.1145 1478.11
1580472.936926 5097835.585596              CB82-08 211.00 1478.2605 1478.26
1580455.000000 5097853.000000              CB82-08 212.00 1478.3618 1478.36
1580436.888889 5097870.444445              CB82-08 213.00 1478.3655 1478.37
1580418.777778 5097887.888889              CB82-08 214.00 1478.1819 1478.18
1580400.666665 5097905.333335              CB82-08 215.00 1477.8809 1477.88
1580382.555555 5097922.777778              CB82-08 216.00 1477.4871 1477.49
1580364.444440 5097940.222226              CB82-08 217.00 1477.1929 1477.19
1580346.333330 5097957.666670              CB82-08 218.00 1477.2512 1477.25
1580328.222220 5097975.111113              CB82-08 219.00 1477.2933 1477.29
1580310.111110 5097992.555557              CB82-08 220.00 1477.2725 1477.27
1580292.000000 5098010.000000              CB82-08 221.00 1477.7419 1477.74
1580273.909090 5098027.000001              CB82-08 222.00 1477.9152 1477.92
1580255.818181 5098044.000001              CB82-08 223.00 1477.7961 1477.8
1580237.727271 5098061.000002              CB82-08 224.00 1477.9323 1477.93
1580219.636361 5098078.000002              CB82-08 225.00 1478.0084 1478.01
1580201.545452 5098095.000003              CB82-08 226.00 1478.1796 1478.18
1580183.454542 5098112.000003              CB82-08 227.00 1478.2500 1478.25
1580165.363639 5098128.999998              CB82-08 228.00 1477.7667 1477.77
1580147.272723 5098146.000004              CB82-08 229.00 1477.3298 1477.33
1580129.181819 5098162.999999              CB82-08 230.00 1477.0468 1477.05
1580111.090904 5098180.000005              CB82-08 231.00 1476.9540 1476.95
1580093.000000 5098197.000000              CB82-08 232.00 1476.8997 1476.9
1580074.666666 5098214.416667              CB82-08 233.00 1476.8394 1476.84
1580056.333332 5098231.833334              CB82-08 234.00 1476.7709 1476.77
1580038.000000 5098249.250000              CB82-08 235.00 1476.3567 1476.36
1580019.666664 5098266.666669              CB82-08 236.00 1475.8932 1475.89
1580001.333336 5098284.083331              CB82-08 237.00 1476.0616 1476.06
1579983.000000 5098301.500000              CB82-08 238.00 1476.4757 1476.48
1579964.666671 5098318.916663              CB82-08 239.00 1477.0625 1477.06
1579946.333329 5098336.333337              CB82-08 240.00 1477.4758 1477.48
1579928.000000 5098353.750000              CB82-08 241.00 1477.6813 1477.68
1579909.666671 5098371.166663              CB82-08 242.00 1477.5828 1477.58
1579891.333329 5098388.583337              CB82-08 243.00 1477.6174 1477.62
1579873.000000 5098406.000000              CB82-08 244.00 1477.3099 1477.31
1579855.000000 5098423.214286              CB82-08 245.00 1476.9839 1476.98
1579836.999999 5098440.428572              CB82-08 246.00 1476.7300 1476.73
1579818.999998 5098457.642859              CB82-08 247.00 1476.4464 1476.45
1579800.999999 5098474.857144              CB82-08 248.00 1476.5856 1476.59
1579783.000000 5098492.071429              CB82-08 249.00 1476.8690 1476.87
1579764.999995 5098509.285719              CB82-08 250.00 1476.7849 1476.78
1579746.999996 5098526.500004              CB82-08 251.00 1476.5931 1476.59
1579728.999997 5098543.714288              CB82-08 252.00 1476.4286 1476.43
1579710.999998 5098560.928573              CB82-08 253.00 1476.3135 1476.31
1579692.999999 5098578.142858              CB82-08 254.00 1476.4208 1476.42
1579674.999989 5098595.357153              CB82-08 255.00 1476.4838 1476.48
1579656.999990 5098612.571438              CB82-08 256.00 1476.6035 1476.6
1579638.999991 5098629.785722              CB82-08 257.00 1476.5123 1476.51
1579620.999992 5098647.000007              CB82-08 258.00 1475.9857 1475.99
1579602.999994 5098664.214292              CB82-08 259.00 1475.4454 1475.45
1579584.999995 5098681.428577              CB82-08 260.00 1475.0820 1475.08
1579566.999996 5098698.642861              CB82-08 261.00 1475.1390 1475.14
1579548.999997 5098715.857146              CB82-08 262.00 1475.3007 1475.3
1579530.999998 5098733.071431              CB82-08 263.00 1475.5313 1475.53
1579512.999999 5098750.285715              CB82-08 264.00 1475.3583 1475.36
1579495.000000 5098767.500000              CB82-08 265.00 1475.4543 1475.45
1579476.999979 5098784.714306              CB82-08 266.00 1475.5514 1475.55
1579459.000002 5098801.928569              CB82-08 267.00 1475.6482 1475.65
1579440.999981 5098819.142876              CB82-08 268.00 1475.4286 1475.43
