1583731.222204,5094735.688905,             CB82-08,29.00,-100000004091847880000000000000000000.0000,-999
1583713.444427,5094751.177793,             CB82-08,30.00,-100000004091847880000000000000000000.0000,-999
1583695.666651,5094766.666681,             CB82-08,31.00,-100000004091847880000000000000000000.0000,-999
1583677.888874,5094782.155568,             CB82-08,32.00,-100000004091847880000000000000000000.0000,-999
1583660.111097,5094797.644456,             CB82-08,33.00,-100000004091847880000000000000000000.0000,-999
1583642.333321,5094813.133344,             CB82-08,34.00,-100000004091847880000000000000000000.0000,-999
1583624.555544,5094828.622232,             CB82-08,35.00,-100000004091847880000000000000000000.0000,-999
1583606.777767,5094844.111120,             CB82-08,36.00,-100000004091847880000000000000000000.0000,-999
1583588.999990,5094859.600008,             CB82-08,37.00,-100000004091847880000000000000000000.0000,-999
1583571.222214,5094875.088896,             CB82-08,38.00,-100000004091847880000000000000000000.0000,-999
1583553.444437,5094890.577784,             CB82-08,39.00,-100000004091847880000000000000000000.0000,-999
1583535.666660,5094906.066672,             CB82-08,40.00,-100000004091847880000000000000000000.0000,-999
1583517.888884,5094921.555560,             CB82-08,41.00,-100000004091847880000000000000000000.0000,-999
1583500.111107,5094937.044448,             CB82-08,42.00,-100000004091847880000000000000000000.0000,-999
1583482.333330,5094952.533336,             CB82-08,43.00,-100000004091847880000000000000000000.0000,-999
1583464.555553,5094968.022224,             CB82-08,44.00,-100000004091847880000000000000000000.0000,-999
1583446.777777,5094983.511112,             CB82-08,45.00,-100000004091847880000000000000000000.0000,-999
1583429.000000,5094999.000000,             CB82-08,46.00,-100000004091847880000000000000000000.0000,-999
1583411.160000,5095015.040000,             CB82-08,47.00,-100000004091847880000000000000000000.0000,-999
1583393.320001,5095031.079999,             CB82-08,48.00,-100000004091847880000000000000000000.0000,-999
1583375.480001,5095047.119999,             CB82-08,49.00,-100000004091847880000000000000000000.0000,-999
1583357.640002,5095063.159999,             CB82-08,50.00,-100000004091847880000000000000000000.0000,-999
1583339.799999,5095079.200001,             CB82-08,51.00,-100000004091847880000000000000000000.0000,-999
1583321.960002,5095095.239998,             CB82-08,52.00,-100000004091847880000000000000000000.0000,-999
1583304.119999,5095111.280000,             CB82-08,53.00,-100000004091847880000000000000000000.0000,-999
1583286.280003,5095127.319997,             CB82-08,54.00,-100000004091847880000000000000000000.0000,-999
1583268.439994,5095143.360006,             CB82-08,55.00,-100000004091847880000000000000000000.0000,-999
1583250.599997,5095159.400002,             CB82-08,56.00,-100000004091847880000000000000000000.0000,-999
1583232.760001,5095175.439999,             CB82-08,57.00,-100000004091847880000000000000000000.0000,-999
1583214.920005,5095191.479996,             CB82-08,58.00,-100000004091847880000000000000000000.0000,-999
1583197.080009,5095207.519992,             CB82-08,59.00,-100000004091847880000000000000000000.0000,-999
1583179.239999,5095223.560001,             CB82-08,60.00,-100000004091847880000000000000000000.0000,-999
1583161.399989,5095239.600010,             CB82-08,61.00,-100000004091847880000000000000000000.0000,-999
1583143.560006,5095255.639994,             CB82-08,62.00,-100000004091847880000000000000000000.0000,-999
1583125.719997,5095271.680003,             CB82-08,63.00,-100000004091847880000000000000000000.0000,-999
1583107.879987,5095287.720011,             CB82-08,64.00,-100000004091847880000000000000000000.0000,-999
1583090.040004,5095303.759996,             CB82-08,65.00,-100000004091847880000000000000000000.0000,-999
1583072.199995,5095319.800005,             CB82-08,66.00,-100000004091847880000000000000000000.0000,-999
1583054.360012,5095335.839989,             CB82-08,67.00,-100000004091847880000000000000000000.0000,-999
1583036.520002,5095351.879998,             CB82-08,68.00,-100000004091847880000000000000000000.0000,-999
1583018.679993,5095367.920007,             CB82-08,69.00,-100000004091847880000000000000000000.0000,-999
1583000.840010,5095383.959991,             CB82-08,70.00,-100000004091847880000000000000000000.0000,-999
1582983.000000,5095400.000000,             CB82-08,71.00,-100000004091847880000000000000000000.0000,-999
1582964.833333,5095417.750001,             CB82-08,72.00,-100000004091847880000000000000000000.0000,-999
1582946.666666,5095435.500001,             CB82-08,73.00,-100000004091847880000000000000000000.0000,-999
1582928.500000,5095453.250000,             CB82-08,74.00,-100000004091847880000000000000000000.0000,-999
1582910.333331,5095471.000002,             CB82-08,75.00,-100000004091847880000000000000000000.0000,-999
1582892.166669,5095488.749998,             CB82-08,76.00,-100000004091847880000000000000000000.0000,-999
1582874.000000,5095506.500000,             CB82-08,77.00,-100000004091847880000000000000000000.0000,-999
1582855.833338,5095524.249996,             CB82-08,78.00,-100000004091847880000000000000000000.0000,-999
1582837.666662,5095542.000004,             CB82-08,79.00,-100000004091847880000000000000000000.0000,-999
1582819.500000,5095559.750000,             CB82-08,80.00,-100000004091847880000000000000000000.0000,-999
1582801.333338,5095577.499996,             CB82-08,81.00,-100000004091847880000000000000000000.0000,-999
1582783.166662,5095595.250004,             CB82-08,82.00,-100000004091847880000000000000000000.0000,-999
1582765.000000,5095613.000000,             CB82-08,83.00,-100000004091847880000000000000000000.0000,-999
1582747.277778,5095630.055556,             CB82-08,84.00,-100000004091847880000000000000000000.0000,-999
1582729.555555,5095647.111111,             CB82-08,85.00,-100000004091847880000000000000000000.0000,-999
1582711.833332,5095664.166668,             CB82-08,86.00,-100000004091847880000000000000000000.0000,-999
1582694.111111,5095681.222223,             CB82-08,87.00,-100000004091847880000000000000000000.0000,-999
1582676.388885,5095698.277782,             CB82-08,88.00,-100000004091847880000000000000000000.0000,-999
1582658.666663,5095715.333336,             CB82-08,89.00,-100000004091847880000000000000000000.0000,-999
1582640.944442,5095732.388891,             CB82-08,90.00,-100000004091847880000000000000000000.0000,-999
