1572016.000000,5105999.000000,             CB82-08,682.00,-100000004091847880000000000000000000.0000,-999
1571999.000000,5106015.750000,             CB82-08,683.00,-100000004091847880000000000000000000.0000,-999
1571982.000000,5106032.500000,             CB82-08,684.00,-100000004091847880000000000000000000.0000,-999
1571948.000000,5106066.000000,             CB82-08,686.00,-100000004091847880000000000000000000.0000,-999
1571930.300000,5106083.500000,             CB82-08,687.00,-100000004091847880000000000000000000.0000,-999
1571912.599999,5106101.000001,             CB82-08,688.00,-100000004091847880000000000000000000.0000,-999
1571894.899998,5106118.500002,             CB82-08,689.00,-100000004091847880000000000000000000.0000,-999
1571877.199999,5106136.000001,             CB82-08,690.00,-100000004091847880000000000000000000.0000,-999
1571859.500000,5106153.500000,             CB82-08,691.00,-100000004091847880000000000000000000.0000,-999
1571841.799996,5106171.000004,             CB82-08,692.00,-100000004091847880000000000000000000.0000,-999
1571824.100002,5106188.499998,             CB82-08,693.00,-100000004091847880000000000000000000.0000,-999
1571806.399998,5106206.000002,             CB82-08,694.00,-100000004091847880000000000000000000.0000,-999
1571788.700004,5106223.499996,             CB82-08,695.00,-100000004091847880000000000000000000.0000,-999
1571771.000000,5106241.000000,             CB82-08,696.00,-100000004091847880000000000000000000.0000,-999
1571752.945946,5106258.351352,             CB82-08,697.00,-100000004091847880000000000000000000.0000,-999
1571734.891891,5106275.702704,             CB82-08,698.00,-100000004091847880000000000000000000.0000,-999
1571716.837840,5106293.054052,             CB82-08,699.00,-100000004091847880000000000000000000.0000,-999
1571698.783782,5106310.405407,             CB82-08,700.00,-100000004091847880000000000000000000.0000,-999
1571680.729734,5106327.756753,             CB82-08,701.00,-100000004091847880000000000000000000.0000,-999
1571662.675681,5106345.108103,             CB82-08,702.00,-100000004091847880000000000000000000.0000,-999
1571644.621617,5106362.459464,             CB82-08,703.00,-100000004091847880000000000000000000.0000,-999
1571626.567564,5106379.810814,             CB82-08,704.00,-100000004091847880000000000000000000.0000,-999
1571608.513511,5106397.162165,             CB82-08,705.00,-100000004091847880000000000000000000.0000,-999
1571590.459468,5106414.513506,             CB82-08,706.00,-100000004091847880000000000000000000.0000,-999
1571572.405404,5106431.864866,             CB82-08,707.00,-100000004091847880000000000000000000.0000,-999
1571554.351361,5106449.216207,             CB82-08,708.00,-100000004091847880000000000000000000.0000,-999
1571536.297298,5106466.567567,             CB82-08,709.00,-100000004091847880000000000000000000.0000,-999
1571518.243235,5106483.918927,             CB82-08,710.00,-100000004091847880000000000000000000.0000,-999
1571500.189191,5106501.270268,             CB82-08,711.00,-100000004091847880000000000000000000.0000,-999
1571482.135128,5106518.621628,             CB82-08,712.00,-100000004091847880000000000000000000.0000,-999
1571464.081085,5106535.972969,             CB82-08,713.00,-100000004091847880000000000000000000.0000,-999
1571446.027022,5106553.324329,             CB82-08,714.00,-100000004091847880000000000000000000.0000,-999
1571427.972978,5106570.675671,             CB82-08,715.00,-100000004091847880000000000000000000.0000,-999
1571409.918935,5106588.027012,             CB82-08,716.00,-100000004091847880000000000000000000.0000,-999
1571391.864852,5106605.378391,             CB82-08,717.00,-100000004091847880000000000000000000.0000,-999
1571373.810809,5106622.729732,             CB82-08,718.00,-100000004091847880000000000000000000.0000,-999
1571355.756765,5106640.081073,             CB82-08,719.00,-100000004091847880000000000000000000.0000,-999
1571337.702722,5106657.432414,             CB82-08,720.00,-100000004091847880000000000000000000.0000,-999
1571319.648639,5106674.783793,             CB82-08,721.00,-100000004091847880000000000000000000.0000,-999
1571301.594596,5106692.135134,             CB82-08,722.00,-100000004091847880000000000000000000.0000,-999
1571283.540552,5106709.486475,             CB82-08,723.00,-100000004091847880000000000000000000.0000,-999
1571265.486469,5106726.837854,             CB82-08,724.00,-100000004091847880000000000000000000.0000,-999
1571247.432426,5106744.189195,             CB82-08,725.00,-100000004091847880000000000000000000.0000,-999
1571229.378383,5106761.540536,             CB82-08,726.00,-100000004091847880000000000000000000.0000,-999
1571211.324339,5106778.891877,             CB82-08,727.00,-100000004091847880000000000000000000.0000,-999
1571193.270256,5106796.243257,             CB82-08,728.00,-100000004091847880000000000000000000.0000,-999
1571175.216213,5106813.594598,             CB82-08,729.00,-100000004091847880000000000000000000.0000,-999
1571157.162170,5106830.945939,             CB82-08,730.00,-100000004091847880000000000000000000.0000,-999
1571139.108126,5106848.297280,             CB82-08,731.00,-100000004091847880000000000000000000.0000,-999
1571121.054043,5106865.648659,             CB82-08,732.00,-100000004091847880000000000000000000.0000,-999
1571103.000000,5106883.000000,             CB82-08,733.00,-100000004091847880000000000000000000.0000,-999
1571084.583333,5106899.833334,             CB82-08,734.00,-100000004091847880000000000000000000.0000,-999
1571066.166666,5106916.666668,             CB82-08,735.00,-100000004091847880000000000000000000.0000,-999
1571047.750000,5106933.500000,             CB82-08,736.00,-100000004091847880000000000000000000.0000,-999
1571029.333331,5106950.333335,             CB82-08,737.00,-100000004091847880000000000000000000.0000,-999
1571010.916669,5106967.166665,             CB82-08,738.00,-100000004091847880000000000000000000.0000,-999
1570992.500000,5106984.000000,             CB82-08,739.00,-100000004091847880000000000000000000.0000,-999
1570974.083338,5107000.833329,             CB82-08,740.00,-100000004091847880000000000000000000.0000,-999
1570955.666662,5107017.666671,             CB82-08,741.00,-100000004091847880000000000000000000.0000,-999
1570937.250000,5107034.500000,             CB82-08,742.00,-100000004091847880000000000000000000.0000,-999
1570918.833338,5107051.333329,             CB82-08,743.00,-100000004091847880000000000000000000.0000,-999
1570900.416662,5107068.166671,             CB82-08,744.00,-100000004091847880000000000000000000.0000,-999
