1570662.999998 5107289.428573              CB82-08 757.00 1.7349 -13.5117
1570644.750007 5107306.464280              CB82-08 758.00 1.7349 -12.817
1570626.500000 5107323.500000              CB82-08 759.00 1.7349 -10.2572
1570608.250009 5107340.535706              CB82-08 760.00 1.7343 -6.90246
1570589.999987 5107357.571441              CB82-08 761.00 1.7338 -3.54799
1570571.749996 5107374.607147              CB82-08 762.00 1.7303 -1.1847
1570553.500004 5107391.642853              CB82-08 763.00 1.7267 -0.335681
1570535.250013 5107408.678559              CB82-08 764.00 1.7252 -1.03845
1570516.999991 5107425.714294              CB82-08 765.00 1.7236 -2.81566
1570498.750000 5107442.750000              CB82-08 766.00 1.7220 -5.26599
1570480.500009 5107459.785706              CB82-08 767.00 1.7205 -8.13525
1570462.249987 5107476.821441              CB82-08 768.00 1.7192 -9.9574
1570443.999996 5107493.857147              CB82-08 769.00 1.7170 -11.0464
1570425.750004 5107510.892853              CB82-08 770.00 1.7151 -10.9366
1570407.500013 5107527.928559              CB82-08 771.00 1.7125 -10.8638
1570389.249991 5107544.964294              CB82-08 772.00 1.7101 -10.4087
1570371.000000 5107562.000000              CB82-08 773.00 1.7083 -9.83835
1570352.500000 5107579.500000              CB82-08 774.00 1.7068 -8.36555
1570334.000000 5107597.000000              CB82-08 775.00 1.7056 -7.27939
1570315.500000 5107614.500000              CB82-08 776.00 1.7047 -7.02183
1570297.000000 5107632.000000              CB82-08 777.00 1.7042 -7.748
1570279.142856 5107649.142858              CB82-08 778.00 1.7039 -9.50172
1570261.285713 5107666.285716              CB82-08 779.00 1.7036 -12.9009
1570243.428571 5107683.428572              CB82-08 780.00 1.7033 -16.0255
1570225.571425 5107700.571432              CB82-08 781.00 1.7022 -17.6974
1570207.714284 5107717.714288              CB82-08 782.00 1.7006 -16.7952
1570189.857142 5107734.857144              CB82-08 783.00 1.6995 -14.1608
1570172.000000 5107752.000000              CB82-08 784.00 1.6998 -9.45416
1570154.315789 5107769.473684              CB82-08 785.00 1.7031 -8.76201
1570136.631579 5107786.947369              CB82-08 786.00 1.7018 -10.5574
1570118.947371 5107804.421051              CB82-08 787.00 1.7005 -11.9613
1570101.263157 5107821.894737              CB82-08 788.00 1.6942 -8.15868
1570083.578944 5107839.368424              CB82-08 789.00 1.6908 -9.68419
1570065.894741 5107856.842101              CB82-08 790.00 1.6874 -13.5535
1570048.210528 5107874.315788              CB82-08 791.00 1.6839 -17.8621
1570030.526315 5107891.789475              CB82-08 792.00 1.6813 -18.3281
1570012.842102 5107909.263162              CB82-08 793.00 1.6787 -17.1544
1569995.157888 5107926.736848              CB82-08 794.00 1.6762 -13.8157
1569977.473685 5107944.210525              CB82-08 795.00 1.6734 -10.734
1569959.789482 5107961.684202              CB82-08 796.00 1.6706 -10.5755
